id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
8559,4.1,b'4.1-ngram.next_system_utterance__sorry',663.5020,4,1.0000,0
2948,4.3.1,b'4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,521,0.3841,1
15720,5,b'5-phrase_feature__noun_phrases__current_user_utterance__victory',41.9590,326,0.2918,2
5024,4.1,b'4.1-ngram.next_system_utterance__don',368.4234,11,0.2624,3
44,3,b'3-time_feature__end_of_session',110.1752,60,0.2012,4
5042,4.1,b'4.1-ngram.next_system_utterance__don understand',211.4860,28,0.1913,5
33821,7,b'7-syntactic_feature__root_word__next_user_utterance__tv',41.9624,258,0.1803,6
5028,4.1,b'4.1-ngram.next_system_utterance__don know',240.5310,21,0.1728,7
32339,7,b'7-syntactic_feature__root_word__current_user_utterance__set',53.4387,191,0.1588,8
33958,7,b'7-syntactic_feature__subj_word__current_user_utterance__congressman',41.9590,397,0.1508,9
15603,5,b'5-phrase_feature__noun_phrases__current_user_utterance__tunein',51.5776,197,0.1362,10
9352,4.1,b'4.1-ngram.next_system_utterance__turning',51.4677,200,0.1199,11
28949,6,b'6-entity_feature__entity__next_system_utterance__craig david_PERSON',83.9180,102,0.1035,12
15736,5,b'5-phrase_feature__noun_phrases__current_user_utterance__violent_fights',41.9590,324,0.1010,13
15781,5,b'5-phrase_feature__noun_phrases__current_user_utterance__watch_man',41.9590,319,0.1003,14
16166,5,b'5-phrase_feature__noun_phrases__next_system_utterance__address_jack',41.9590,312,0.0884,15
33021,7,b'7-syntactic_feature__root_word__next_system_utterance__mix',74.6007,120,0.0862,16
13677,5,b'5-phrase_feature__noun_phrases__current_user_utterance__home_play_karma',41.9590,293,0.0831,17
15782,5,b'5-phrase_feature__noun_phrases__current_user_utterance__watch_man_x',41.9590,318,0.0828,18
32826,7,b'7-syntactic_feature__root_word__next_system_utterance__find',92.2110,79,0.0690,19
5833,4.1,b'4.1-ngram.next_system_utterance__help',575.0181,5,0.0650,20
31693,7,b'7-syntactic_feature__obj_word__next_user_utterance__einstein',41.9590,380,0.0622,21
15606,5,b'5-phrase_feature__noun_phrases__current_user_utterance__tunein_station',125.8770,47,0.0605,22
32101,7,b'7-syntactic_feature__root_word__current_user_utterance__creat',65.8762,143,0.0582,23
32005,7,b'7-syntactic_feature__obj_word__next_user_utterance__yogurt',41.9590,411,0.0577,24
25893,5,b'5-phrase_feature__noun_phrases__next_user_utterance__next_few_hours',41.9590,485,0.0558,25
12166,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,519,0.0535,26
15166,5,b'5-phrase_feature__noun_phrases__current_user_utterance__ship_work',41.9590,287,0.0535,27
6331,4.1,b'4.1-ngram.next_system_utterance__know',226.4448,25,0.0494,28
8247,4.1,b'4.1-ngram.next_system_utterance__screen',69.2170,136,0.0476,29
2947,4.2.1,b'4.2.1-edit_distance.next_user_utterance_pairs__edit_distance',0.0000,522,0.0448,30
6422,4.1,b'4.1-ngram.next_system_utterance__learning',60.9885,153,0.0436,31
33688,7,b'7-syntactic_feature__root_word__next_user_utterance__play',105.8380,66,0.0425,32
32141,7,b'7-syntactic_feature__root_word__current_user_utterance__fight',41.9590,413,0.0421,33
15165,5,b'5-phrase_feature__noun_phrases__current_user_utterance__ship',41.9590,288,0.0391,34
32605,7,b'7-syntactic_feature__root_word__next_system_utterance__answer',57.4095,169,0.0376,35
2949,1,b'1-utterance_length.next_system_utterance__utterance_length',392.8140,6,0.0339,36
29352,6,b'6-entity_feature__entity__next_system_utterance__maggiano luciano_ORGANIZATION',41.9590,355,0.0338,37
4922,4.1,b'4.1-ngram.next_system_utterance__device',95.2261,74,0.0333,38
8567,4.1,b'4.1-ngram.next_system_utterance__sorry don understand',129.3792,44,0.0313,39
31404,7,b'7-syntactic_feature__obj_word__next_system_utterance__name',147.9556,40,0.0311,40
32986,7,b'7-syntactic_feature__root_word__next_system_utterance__like',88.2918,82,0.0302,41
12483,5,b'5-phrase_feature__noun_phrases__current_user_utterance__block',41.9590,328,0.0291,42
32996,7,b'7-syntactic_feature__root_word__next_system_utterance__look',172.2649,34,0.0289,43
8568,4.1,b'4.1-ngram.next_system_utterance__sorry help',178.4302,32,0.0287,44
32851,7,b'7-syntactic_feature__root_word__next_system_utterance__garnish',41.9590,415,0.0273,45
32962,7,b'7-syntactic_feature__root_word__next_system_utterance__keep',125.8770,50,0.0273,46
32115,7,b'7-syntactic_feature__root_word__current_user_utterance__direct',83.9180,105,0.0265,47
32266,7,b'7-syntactic_feature__root_word__current_user_utterance__order',57.2148,171,0.0256,48
33057,7,b'7-syntactic_feature__root_word__next_system_utterance__open',109.3916,64,0.0241,49
36,2.1,b'2.1-user_action_words.current_user_utterance__timer',88.1845,83,0.0237,50
12165,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,520,0.0235,51
33036,7,b'7-syntactic_feature__root_word__next_system_utterance__need',165.1823,35,0.0220,52
15657,5,b'5-phrase_feature__noun_phrases__current_user_utterance__una_vita',41.9590,330,0.0220,53
0,1,b'1-utterance_length.current_user_utterance__utterance_length',50.3879,208,0.0213,54
32999,7,b'7-syntactic_feature__root_word__next_system_utterance__love',41.9590,417,0.0209,55
33530,7,b'7-syntactic_feature__root_word__next_user_utterance__fight',41.9590,384,0.0201,56
15773,5,b'5-phrase_feature__noun_phrases__current_user_utterance__watch_baby_shows',41.9590,321,0.0189,57
12167,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,512,0.0187,58
47,3,b'3-time_feature__turns_from_start',1855.8406,1,0.0184,59
