id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
1293,4.3.1,b'4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,513,1.0000,0
4462,4.1,b'4.1-ngram.next_system_utterance__like',99.0139,27,0.6876,1
4710,4.1,b'4.1-ngram.next_system_utterance__looking',150.2643,21,0.5193,2
3399,4.1,b'4.1-ngram.next_system_utterance__example',187.8127,11,0.3301,3
7699,4.1,b'4.1-ngram.next_user_utterance__thank',333.4715,1,0.1623,4
7202,4.1,b'4.1-ngram.next_user_utterance__goodbye',182.2327,15,0.1488,5
7017,4.1,b'4.1-ngram.next_user_utterance__bye',223.3413,6,0.1423,6
2024,4.1,b'4.1-ngram.next_system_utterance__area postcode',31.9326,133,0.0991,7
5523,4.1,b'4.1-ngram.next_system_utterance__postcode',31.9326,132,0.0941,8
5591,4.1,b'4.1-ngram.next_system_utterance__pounds',78.9269,37,0.0785,9
4075,4.1,b'4.1-ngram.next_system_utterance__help',79.9664,36,0.0777,10
5682,4.1,b'4.1-ngram.next_system_utterance__price cheapest',11.8051,443,0.0685,11
5623,4.1,b'4.1-ngram.next_system_utterance__pounds 50',13.1760,385,0.0671,12
6181,4.1,b'4.1-ngram.next_system_utterance__serves',50.3575,83,0.0647,13
3731,4.1,b'4.1-ngram.next_system_utterance__food outstanding',12.8822,399,0.0643,14
2013,4.1,b'4.1-ngram.next_system_utterance__area',21.3032,199,0.0635,15
1676,4.1,b'4.1-ngram.next_system_utterance__50',13.8546,366,0.0607,16
2851,4.1,b'4.1-ngram.next_system_utterance__chesterton town',13.4626,377,0.0538,17
5906,4.1,b'4.1-ngram.next_system_utterance__restaurant',13.3843,379,0.0530,18
3756,4.1,b'4.1-ngram.next_system_utterance__free',50.3623,82,0.0518,19
1250,4.1,b'4.1-ngram.current_user_utterance__whats',117.0458,22,0.0502,20
7519,4.1,b'4.1-ngram.next_user_utterance__phone',167.7216,18,0.0487,21
7124,4.1,b'4.1-ngram.next_user_utterance__dont care',234.8901,3,0.0484,22
6747,4.1,b'4.1-ngram.next_system_utterance__venue',50.9379,80,0.0422,23
3733,4.1,b'4.1-ngram.next_system_utterance__food outstanding restaurant',12.9586,393,0.0397,24
7023,4.1,b'4.1-ngram.next_user_utterance__care',249.4201,2,0.0383,25
9,4.1,b'4.1-ngram.current_user_utterance__address',344.7469,0,0.0381,26
5264,4.1,b'4.1-ngram.next_system_utterance__outstanding',27.2336,160,0.0377,27
6245,4.1,b'4.1-ngram.next_system_utterance__serving',21.6000,197,0.0363,28
4478,4.1,b'4.1-ngram.next_system_utterance__like chinese food',30.3290,139,0.0339,29
2821,4.1,b'4.1-ngram.next_system_utterance__chesterton',17.5458,267,0.0336,30
562,4.1,b'4.1-ngram.current_user_utterance__looking',18.2292,257,0.0324,31
7158,4.1,b'4.1-ngram.next_user_utterance__fen',54.3156,75,0.0322,32
5826,4.1,b'4.1-ngram.next_system_utterance__ranges',35.1149,109,0.0321,33
3955,4.1,b'4.1-ngram.next_system_utterance__great',28.4602,156,0.0318,34
1765,4.1,b'4.1-ngram.next_system_utterance__95',25.6176,167,0.0314,35
7844,4.1,b'4.1-ngram.next_user_utterance__yes',99.4695,26,0.0310,36
6938,4.1,b'4.1-ngram.next_user_utterance__address',232.4335,4,0.0297,37
117,4.1,b'4.1-ngram.current_user_utterance__care',34.5074,113,0.0290,38
2262,4.1,b'4.1-ngram.next_system_utterance__barnwell town',11.4710,451,0.0282,39
