id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
30,3,b'3-time_feature__time_ratio',251.2757,68,1.0000,0
4123,4.1,b'4.1-ngram.next_system_utterance__sure',60.0399,237,0.7438,1
8524,7,b'7-syntactic_feature__subj_word__next_system_utterance__you',1521.9407,2,0.7167,2
8604,8.2.1,b'8.2.1-lda_similarity.next_user_utterance_pairs__cosine',0.0000,262,0.5984,3
6600,5,b'5-phrase_feature__noun_phrases__next_system_utterance__road',232.5560,73,0.3926,4
8126,7,b'7-syntactic_feature__root_word__next_system_utterance__like',1172.1812,3,0.3708,5
2564,4.1,b'4.1-ngram.next_system_utterance__like',388.2541,38,0.3672,6
8592,2.3.1,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,280,0.3395,7
5127,4.1,b'4.1-ngram.next_user_utterance__thank',412.7607,31,0.3287,8
6760,5,b'5-phrase_feature__noun_phrases__next_system_utterance__street',225.1980,77,0.3213,9
6594,5,b'5-phrase_feature__noun_phrases__next_system_utterance__right',335.9529,54,0.3086,10
8379,7,b'7-syntactic_feature__root_word__next_user_utterance__ye',212.9693,81,0.3079,11
8594,4.3.1,b'4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,258,0.3014,12
34,4.1,b'4.1-ngram.current_user_utterance__address',350.4873,49,0.2812,13
5366,5,b'5-phrase_feature__noun_phrases__current_user_utterance__code',112.5779,134,0.2637,14
6900,5,b'5-phrase_feature__noun_phrases__next_user_utterance__address',469.2006,21,0.2433,15
152,4.1,b'4.1-ngram.current_user_utterance__code',58.8962,241,0.2369,16
5241,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address',425.7890,27,0.2298,17
1,2.1,b'2.1-user_action_words.current_user_utterance__address',426.6824,26,0.2147,18
32,3,b'3-time_feature__turns_to_end',7328.0899,0,0.2124,19
8605,9.2.1,b'9.2.1-w2v_similarity.next_user_utterance_pairs__cosine',0.0000,259,0.2068,20
507,4.1,b'4.1-ngram.current_user_utterance__phone number',201.5084,86,0.2026,21
15,2.1,b'2.1-user_action_words.current_user_utterance__number',410.6642,33,0.1947,22
8109,7,b'7-syntactic_feature__root_word__next_system_utterance__did',83.0472,182,0.1902,23
5614,5,b'5-phrase_feature__noun_phrases__current_user_utterance__number',410.6642,32,0.1873,24
8595,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,260,0.1839,25
8593,4.2.1,b'4.2.1-edit_distance.next_user_utterance_pairs__edit_distance',0.0000,270,0.1740,26
6517,5,b'5-phrase_feature__noun_phrases__next_system_utterance__phone_number',579.7128,12,0.1645,27
6473,5,b'5-phrase_feature__noun_phrases__next_system_utterance__number',579.7128,11,0.1621,28
462,4.1,b'4.1-ngram.current_user_utterance__number',201.0520,87,0.1604,29
6516,5,b'5-phrase_feature__noun_phrases__next_system_utterance__phone',579.7128,10,0.1595,30
8141,7,b'7-syntactic_feature__root_word__next_system_utterance__sorri',467.9169,22,0.1517,31
5680,5,b'5-phrase_feature__noun_phrases__current_user_utterance__post_code',116.1049,130,0.1442,32
8588,8.1,b'8.1-lda_feature.current_user_utterance__topic_2',0.0000,271,0.1432,33
8587,8.1,b'8.1-lda_feature.current_user_utterance__topic_19',0.0000,278,0.1422,34
6953,5,b'5-phrase_feature__noun_phrases__next_user_utterance__bye',842.5880,5,0.1331,35
6464,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nice_restaurant',86.2284,171,0.1302,36
527,4.1,b'4.1-ngram.current_user_utterance__post code',62.6675,227,0.1246,37
5235,4.1,b'4.1-ngram.next_user_utterance__yes',202.5400,84,0.1235,38
8581,8.1,b'8.1-lda_feature.current_user_utterance__topic_13',0.0000,274,0.1232,39
4787,4.1,b'4.1-ngram.next_user_utterance__good',342.6585,51,0.1198,40
6204,5,b'5-phrase_feature__noun_phrases__next_system_utterance__food',113.8363,133,0.1198,41
7709,7,b'7-syntactic_feature__obj_word__next_system_utterance__you',80.4661,187,0.1145,42
8602,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,263,0.1091,43
8576,8.1,b'8.1-lda_feature.current_user_utterance__topic_0',0.0000,285,0.1090,44
6029,5,b'5-phrase_feature__noun_phrases__next_system_utterance__c.b',140.4303,108,0.1043,45
2119,4.1,b'4.1-ngram.next_system_utterance__food',95.8159,161,0.1008,46
3911,4.1,b'4.1-ngram.next_system_utterance__sorry',80.5223,186,0.0986,47
8586,8.1,b'8.1-lda_feature.current_user_utterance__topic_18',0.0000,276,0.0929,48
4936,4.1,b'4.1-ngram.next_user_utterance__number',213.1081,80,0.0921,49
7713,7,b'7-syntactic_feature__obj_word__next_user_utterance__bye',767.8040,9,0.0915,50
8351,7,b'7-syntactic_feature__root_word__next_user_utterance__thank',938.0234,4,0.0871,51
4734,4.1,b'4.1-ngram.next_user_utterance__doesnt',101.6540,152,0.0854,52
8583,8.1,b'8.1-lda_feature.current_user_utterance__topic_15',0.0000,286,0.0845,53
6499,5,b'5-phrase_feature__noun_phrases__next_system_utterance__park',90.5671,168,0.0819,54
8585,8.1,b'8.1-lda_feature.current_user_utterance__topic_17',0.0000,273,0.0796,55
526,4.1,b'4.1-ngram.current_user_utterance__post',62.7425,226,0.0788,56
3553,4.1,b'4.1-ngram.next_system_utterance__right',83.0720,181,0.0759,57
4588,2.1,b'2.1-user_action_words.next_user_utterance__address',467.7490,23,0.0751,58
6520,5,b'5-phrase_feature__noun_phrases__next_system_utterance__pizza',71.9939,208,0.0739,59
8582,8.1,b'8.1-lda_feature.current_user_utterance__topic_14',0.0000,269,0.0731,60
5218,4.1,b'4.1-ngram.next_user_utterance__whats address',62.8542,225,0.0731,61
8492,7,b'7-syntactic_feature__subj_word__next_system_utterance__number',578.6295,13,0.0706,62
6244,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great_restaurant',288.3986,61,0.0703,63
8210,7,b'7-syntactic_feature__root_word__next_user_utterance__dont',319.4758,59,0.0646,64
8584,8.1,b'8.1-lda_feature.current_user_utterance__topic_16',0.0000,272,0.0645,65
8591,8.1,b'8.1-lda_feature.current_user_utterance__topic_22',0.0000,283,0.0632,66
5697,5,b'5-phrase_feature__noun_phrases__current_user_utterance__priced_restaurant',120.8797,128,0.0631,67
6506,5,b'5-phrase_feature__noun_phrases__next_system_utterance__part',383.2503,41,0.0621,68
