id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
150,8.2.1,b'8.2.1-lda_similarity.next_user_utterance_pairs__cosine',0.0000,0,1.0000,0
121,8.1,b'8.1-lda_feature.next_user_utterance__topic_28',0.0000,86,0.8522,1
145,8.1,b'8.1-lda_feature.next_user_utterance__topic_5',0.0000,100,0.3634,2
95,8.1,b'8.1-lda_feature.next_system_utterance__topic_5',0.0000,134,0.2412,3
146,8.1,b'8.1-lda_feature.next_user_utterance__topic_6',0.0000,99,0.2167,4
86,8.1,b'8.1-lda_feature.next_system_utterance__topic_41',0.0000,121,0.1545,5
81,8.1,b'8.1-lda_feature.next_system_utterance__topic_37',0.0000,126,0.1315,6
45,8.1,b'8.1-lda_feature.current_user_utterance__topic_5',0.0000,10,0.1113,7
68,8.1,b'8.1-lda_feature.next_system_utterance__topic_25',0.0000,25,0.1049,8
92,8.1,b'8.1-lda_feature.next_system_utterance__topic_47',0.0000,131,0.0990,9
50,8.1,b'8.1-lda_feature.next_system_utterance__topic_0',0.0000,5,0.0856,10
149,8.1,b'8.1-lda_feature.next_user_utterance__topic_9',0.0000,76,0.0845,11
94,8.1,b'8.1-lda_feature.next_system_utterance__topic_49',0.0000,132,0.0694,12
117,8.1,b'8.1-lda_feature.next_user_utterance__topic_24',0.0000,90,0.0657,13
52,8.1,b'8.1-lda_feature.next_system_utterance__topic_10',0.0000,3,0.0636,14
89,8.1,b'8.1-lda_feature.next_system_utterance__topic_44',0.0000,118,0.0478,15
65,8.1,b'8.1-lda_feature.next_system_utterance__topic_22',0.0000,28,0.0460,16
128,8.1,b'8.1-lda_feature.next_user_utterance__topic_34',0.0000,79,0.0417,17
60,8.1,b'8.1-lda_feature.next_system_utterance__topic_18',0.0000,33,0.0386,18
69,8.1,b'8.1-lda_feature.next_system_utterance__topic_26',0.0000,24,0.0366,19
58,8.1,b'8.1-lda_feature.next_system_utterance__topic_16',0.0000,35,0.0360,20
93,8.1,b'8.1-lda_feature.next_system_utterance__topic_48',0.0000,115,0.0349,21
54,8.1,b'8.1-lda_feature.next_system_utterance__topic_12',0.0000,17,0.0343,22
105,8.1,b'8.1-lda_feature.next_user_utterance__topic_13',0.0000,140,0.0298,23
143,8.1,b'8.1-lda_feature.next_user_utterance__topic_48',0.0000,102,0.0266,24
46,8.1,b'8.1-lda_feature.current_user_utterance__topic_6',0.0000,9,0.0262,25
104,8.1,b'8.1-lda_feature.next_user_utterance__topic_12',0.0000,141,0.0259,26
111,8.1,b'8.1-lda_feature.next_user_utterance__topic_19',0.0000,133,0.0258,27
8,8.1,b'8.1-lda_feature.current_user_utterance__topic_16',0.0000,47,0.0234,28
67,8.1,b'8.1-lda_feature.next_system_utterance__topic_24',0.0000,26,0.0233,29
70,8.1,b'8.1-lda_feature.next_system_utterance__topic_27',0.0000,23,0.0225,30
64,8.1,b'8.1-lda_feature.next_system_utterance__topic_21',0.0000,29,0.0207,31
74,8.1,b'8.1-lda_feature.next_system_utterance__topic_30',0.0000,38,0.0206,32
82,8.1,b'8.1-lda_feature.next_system_utterance__topic_38',0.0000,125,0.0192,33
17,8.1,b'8.1-lda_feature.current_user_utterance__topic_24',0.0000,39,0.0189,34
31,8.1,b'8.1-lda_feature.current_user_utterance__topic_37',0.0000,62,0.0186,35
83,8.1,b'8.1-lda_feature.next_system_utterance__topic_39',0.0000,124,0.0183,36
48,8.1,b'8.1-lda_feature.current_user_utterance__topic_8',0.0000,7,0.0182,37
136,8.1,b'8.1-lda_feature.next_user_utterance__topic_41',0.0000,109,0.0173,38
107,8.1,b'8.1-lda_feature.next_user_utterance__topic_15',0.0000,138,0.0173,39
108,8.1,b'8.1-lda_feature.next_user_utterance__topic_16',0.0000,137,0.0169,40
