id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
3399,4.1,b'4.1-ngram.next_system_utterance__example',187.8127,11,1.0000,0
4710,4.1,b'4.1-ngram.next_system_utterance__looking',150.2643,21,0.8119,1
4462,4.1,b'4.1-ngram.next_system_utterance__like',99.0139,27,0.5064,2
1293,4.3.1,b'4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,33,0.4185,3
7699,4.1,b'4.1-ngram.next_user_utterance__thank',333.4715,1,0.1796,4
7017,4.1,b'4.1-ngram.next_user_utterance__bye',223.3413,6,0.1263,5
7202,4.1,b'4.1-ngram.next_user_utterance__goodbye',182.2327,15,0.0847,6
1250,4.1,b'4.1-ngram.current_user_utterance__whats',117.0458,22,0.0819,7
9,4.1,b'4.1-ngram.current_user_utterance__address',344.7469,0,0.0814,8
7708,4.1,b'4.1-ngram.next_user_utterance__thank goodbye',178.8764,16,0.0682,9
7457,4.1,b'4.1-ngram.next_user_utterance__number',169.3241,17,0.0602,10
6938,4.1,b'4.1-ngram.next_user_utterance__address',232.4335,4,0.0561,11
7705,4.1,b'4.1-ngram.next_user_utterance__thank good bye',215.8310,10,0.0555,12
817,4.1,b'4.1-ngram.current_user_utterance__phone',185.5460,13,0.0533,13
7704,4.1,b'4.1-ngram.next_user_utterance__thank good',218.6260,9,0.0497,14
7519,4.1,b'4.1-ngram.next_user_utterance__phone',167.7216,18,0.0415,15
7844,4.1,b'4.1-ngram.next_user_utterance__yes',99.4695,26,0.0302,16
7124,4.1,b'4.1-ngram.next_user_utterance__dont care',234.8901,3,0.0291,17
1066,4.1,b'4.1-ngram.current_user_utterance__television',98.8662,28,0.0285,18
819,4.1,b'4.1-ngram.current_user_utterance__phone number',187.0974,12,0.0267,19
7196,4.1,b'4.1-ngram.next_user_utterance__good',221.3249,7,0.0262,20
4354,4.1,b'4.1-ngram.next_system_utterance__kind',105.2468,24,0.0215,21
7023,4.1,b'4.1-ngram.next_user_utterance__care',249.4201,2,0.0212,22
7123,4.1,b'4.1-ngram.next_user_utterance__dont',229.8376,5,0.0198,23
4722,4.1,b'4.1-ngram.next_system_utterance__looking example',105.2468,25,0.0186,24
761,4.1,b'4.1-ngram.current_user_utterance__number',182.4017,14,0.0183,25
918,4.1,b'4.1-ngram.current_user_utterance__restaurant',154.6493,20,0.0105,26
7197,4.1,b'4.1-ngram.next_user_utterance__good bye',220.4684,8,0.0093,27
1292,4.2.1,b'4.2.1-edit_distance.next_user_utterance_pairs__edit_distance',0.0000,32,0.0066,28
7521,4.1,b'4.1-ngram.next_user_utterance__phone number',167.0499,19,0.0062,29
7585,4.1,b'4.1-ngram.next_user_utterance__restaurant',108.9029,23,0.0030,30
4356,4.1,b'4.1-ngram.next_system_utterance__kind price range',95.0734,30,0.0004,31
4355,4.1,b'4.1-ngram.next_system_utterance__kind price',95.0734,29,0.0003,32
5814,4.1,b'4.1-ngram.next_system_utterance__range looking example',95.0734,31,0.0002,33
