id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
3400,8.1,b'8.1-lda_feature.current_user_utterance__topic_0',0.0000,308,1.0000,0
3348,7,b'7-syntactic_feature__subj_word__next_system_utterance__you',1521.9407,2,0.7904,1
30,3,b'3-time_feature__time_ratio',251.2757,52,0.5985,2
3538,8.2.1,b'8.2.1-lda_similarity.next_user_utterance_pairs__cosine',0.0000,394,0.5268,3
2950,7,b'7-syntactic_feature__root_word__next_system_utterance__like',1172.1812,3,0.3597,4
3175,7,b'7-syntactic_feature__root_word__next_user_utterance__thank',938.0234,4,0.3139,5
1584,5,b'5-phrase_feature__noun_phrases__next_system_utterance__street',225.1980,59,0.1912,6
438,5,b'5-phrase_feature__noun_phrases__current_user_utterance__number',410.6642,31,0.1887,7
15,2.1,b'2.1-user_action_words.current_user_utterance__number',410.6642,32,0.1781,8
2965,7,b'7-syntactic_feature__root_word__next_system_utterance__sorri',467.9169,22,0.1778,9
504,5,b'5-phrase_feature__noun_phrases__current_user_utterance__post_code',116.1049,104,0.1384,10
1424,5,b'5-phrase_feature__noun_phrases__next_system_utterance__road',232.5560,55,0.1258,11
32,3,b'3-time_feature__turns_to_end',7328.0899,0,0.1110,12
1330,5,b'5-phrase_feature__noun_phrases__next_system_utterance__part',383.2503,39,0.1053,13
3528,2.3.1,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,263,0.1031,14
1208,5,b'5-phrase_feature__noun_phrases__next_system_utterance__looking',367.7857,42,0.1023,15
3529,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,264,0.1021,16
2251,6,b'6-entity_feature__entity__next_system_utterance__01223_DATE',529.1960,15,0.0942,17
65,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address',425.7890,27,0.0941,18
1288,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nice_restaurant',86.2284,132,0.0930,19
190,5,b'5-phrase_feature__noun_phrases__current_user_utterance__code',112.5779,108,0.0924,20
17,2.1,b'2.1-user_action_words.current_user_utterance__phone',407.0356,35,0.0902,21
479,5,b'5-phrase_feature__noun_phrases__current_user_utterance__phone',407.0356,34,0.0871,22
3407,8.1,b'8.1-lda_feature.current_user_utterance__topic_15',0.0000,301,0.0857,23
1341,5,b'5-phrase_feature__noun_phrases__next_system_utterance__phone_number',579.7128,12,0.0820,24
1,2.1,b'2.1-user_action_words.current_user_utterance__address',426.6824,26,0.0799,25
0,1,b'1-utterance_length.current_user_utterance__utterance_length',116.8619,103,0.0798,26
1297,5,b'5-phrase_feature__noun_phrases__next_system_utterance__number',579.7128,10,0.0796,27
1340,5,b'5-phrase_feature__noun_phrases__next_system_utterance__phone',579.7128,11,0.0790,28
3279,7,b'7-syntactic_feature__subj_word__next_system_utterance__code',133.4241,92,0.0625,29
3531,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,266,0.0614,30
3203,7,b'7-syntactic_feature__root_word__next_user_utterance__ye',212.9693,61,0.0609,31
3461,8.1,b'8.1-lda_feature.next_system_utterance__topic_19',0.0000,385,0.0533,32
2933,7,b'7-syntactic_feature__root_word__next_system_utterance__did',83.0472,141,0.0512,33
3406,8.1,b'8.1-lda_feature.current_user_utterance__topic_14',0.0000,302,0.0502,34
12,2.1,b'2.1-user_action_words.current_user_utterance__moder',137.8490,86,0.0490,35
1068,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great_restaurant',288.3986,49,0.0477,36
3402,8.1,b'8.1-lda_feature.current_user_utterance__topic_10',0.0000,306,0.0471,37
3316,7,b'7-syntactic_feature__subj_word__next_system_utterance__number',578.6295,13,0.0457,38
3429,8.1,b'8.1-lda_feature.current_user_utterance__topic_35',0.0000,328,0.0444,39
2573,7,b'7-syntactic_feature__root_word__current_user_utterance__address',139.3320,84,0.0416,40
3034,7,b'7-syntactic_feature__root_word__next_user_utterance__dont',319.4758,47,0.0410,41
3485,8.1,b'8.1-lda_feature.next_system_utterance__topic_40',0.0000,361,0.0402,42
901,5,b'5-phrase_feature__noun_phrases__next_system_utterance__chesterton',91.8150,127,0.0399,43
1777,5,b'5-phrase_feature__noun_phrases__next_user_utterance__bye',842.5880,5,0.0397,44
139,5,b'5-phrase_feature__noun_phrases__current_user_utterance__care',54.7560,192,0.0395,45
1567,5,b'5-phrase_feature__noun_phrases__next_system_utterance__something',335.0703,45,0.0383,46
3405,8.1,b'8.1-lda_feature.current_user_utterance__topic_13',0.0000,303,0.0379,47
3113,7,b'7-syntactic_feature__root_word__next_user_utterance__number',165.5871,71,0.0359,48
1724,5,b'5-phrase_feature__noun_phrases__next_user_utterance__address',469.2006,21,0.0358,49
2961,7,b'7-syntactic_feature__root_word__next_system_utterance__restaur',167.3413,70,0.0348,50
60,2.2,b'2.2-#user_action_words.next_user_utterance__utterance_length',156.4017,79,0.0336,51
2089,5,b'5-phrase_feature__noun_phrases__next_user_utterance__post_code',127.9285,97,0.0320,52
1371,5,b'5-phrase_feature__noun_phrases__next_system_utterance__prices',105.6693,113,0.0312,53
3427,8.1,b'8.1-lda_feature.current_user_utterance__topic_33',0.0000,330,0.0311,54
3462,8.1,b'8.1-lda_feature.next_system_utterance__topic_2',0.0000,386,0.0308,55
2067,5,b'5-phrase_feature__noun_phrases__next_user_utterance__phone_number',516.6008,18,0.0300,56
1819,5,b'5-phrase_feature__noun_phrases__next_user_utterance__code',132.3345,93,0.0299,57
2926,7,b'7-syntactic_feature__root_word__next_system_utterance__c.b',129.5442,96,0.0294,58
1028,5,b'5-phrase_feature__noun_phrases__next_system_utterance__food',113.8363,107,0.0267,59
3161,7,b'7-syntactic_feature__root_word__next_user_utterance__south',42.9690,242,0.0259,60
3409,8.1,b'8.1-lda_feature.current_user_utterance__topic_17',0.0000,321,0.0259,61
3426,8.1,b'8.1-lda_feature.current_user_utterance__topic_32',0.0000,331,0.0248,62
31,3,b'3-time_feature__turns_from_start',2873.4959,1,0.0247,63
36,2.1,b'2.1-user_action_words.next_user_utterance__ani',298.2324,48,0.0246,64
3275,7,b'7-syntactic_feature__subj_word__next_system_utterance__centr',50.9884,204,0.0245,65
