id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
0,8.1,b'8.1-lda_feature.current_user_utterance__topic_0',0.0000,32,1.0000,0
1,8.1,b'8.1-lda_feature.current_user_utterance__topic_1',0.0000,2,0.2929,1
32,8.2.1,b'8.2.1-lda_similarity.next_user_utterance_pairs__cosine',0.0000,0,0.2925,2
5,8.1,b'8.1-lda_feature.current_user_utterance__topic_13',0.0000,6,0.0627,3
17,8.1,b'8.1-lda_feature.current_user_utterance__topic_24',0.0000,18,0.0451,4
9,8.1,b'8.1-lda_feature.current_user_utterance__topic_17',0.0000,10,0.0434,5
29,8.1,b'8.1-lda_feature.current_user_utterance__topic_35',0.0000,30,0.0417,6
13,8.1,b'8.1-lda_feature.current_user_utterance__topic_20',0.0000,14,0.0319,7
7,8.1,b'8.1-lda_feature.current_user_utterance__topic_15',0.0000,8,0.0284,8
3,8.1,b'8.1-lda_feature.current_user_utterance__topic_11',0.0000,4,0.0271,9
8,8.1,b'8.1-lda_feature.current_user_utterance__topic_16',0.0000,9,0.0260,10
12,8.1,b'8.1-lda_feature.current_user_utterance__topic_2',0.0000,13,0.0255,11
21,8.1,b'8.1-lda_feature.current_user_utterance__topic_28',0.0000,22,0.0231,12
23,8.1,b'8.1-lda_feature.current_user_utterance__topic_3',0.0000,24,0.0229,13
4,8.1,b'8.1-lda_feature.current_user_utterance__topic_12',0.0000,5,0.0197,14
2,8.1,b'8.1-lda_feature.current_user_utterance__topic_10',0.0000,3,0.0190,15
6,8.1,b'8.1-lda_feature.current_user_utterance__topic_14',0.0000,7,0.0177,16
19,8.1,b'8.1-lda_feature.current_user_utterance__topic_26',0.0000,20,0.0155,17
20,8.1,b'8.1-lda_feature.current_user_utterance__topic_27',0.0000,21,0.0154,18
27,8.1,b'8.1-lda_feature.current_user_utterance__topic_33',0.0000,28,0.0148,19
16,8.1,b'8.1-lda_feature.current_user_utterance__topic_23',0.0000,16,0.0112,20
22,8.1,b'8.1-lda_feature.current_user_utterance__topic_29',0.0000,23,0.0102,21
30,8.1,b'8.1-lda_feature.current_user_utterance__topic_36',0.0000,31,0.0088,22
26,8.1,b'8.1-lda_feature.current_user_utterance__topic_32',0.0000,27,0.0074,23
18,8.1,b'8.1-lda_feature.current_user_utterance__topic_25',0.0000,19,0.0073,24
10,8.1,b'8.1-lda_feature.current_user_utterance__topic_18',0.0000,11,0.0071,25
25,8.1,b'8.1-lda_feature.current_user_utterance__topic_31',0.0000,26,0.0070,26
15,8.1,b'8.1-lda_feature.current_user_utterance__topic_22',0.0000,1,0.0048,27
31,8.1,b'8.1-lda_feature.current_user_utterance__topic_37',0.0000,17,0.0041,28
14,8.1,b'8.1-lda_feature.current_user_utterance__topic_21',0.0000,15,0.0037,29
11,8.1,b'8.1-lda_feature.current_user_utterance__topic_19',0.0000,12,0.0030,30
24,8.1,b'8.1-lda_feature.current_user_utterance__topic_30',0.0000,25,0.0024,31
28,8.1,b'8.1-lda_feature.current_user_utterance__topic_34',0.0000,29,0.0006,32
