id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
8631,5,b'5-phrase_feature__noun_phrases__next_system_utterance__music_library',105.0964,49,1.0000,0
21616,7,b'7-syntactic_feature__root_word__next_user_utterance__play',105.8380,47,0.8245,1
9656,5,b'5-phrase_feature__noun_phrases__next_system_utterance__provider',41.9590,240,0.7678,2
21816,7,b'7-syntactic_feature__subj_word__current_user_utterance__6',41.9590,211,0.5516,3
9096,5,b'5-phrase_feature__noun_phrases__next_system_utterance__oz_orange',41.9590,253,0.3144,4
44,3,b'3-time_feature__end_of_session',110.1752,41,0.2894,5
9097,5,b'5-phrase_feature__noun_phrases__next_system_utterance__oz_orange_juice',41.9590,255,0.2823,6
18600,7,b'7-syntactic_feature__obj_word__current_user_utterance__athena',41.9590,193,0.2505,7
8747,5,b'5-phrase_feature__noun_phrases__next_system_utterance__network_time',83.9180,68,0.2114,8
13326,5,b'5-phrase_feature__noun_phrases__next_user_utterance__joe_rogan_experience',41.9624,188,0.2022,9
7958,5,b'5-phrase_feature__noun_phrases__next_system_utterance__learning',157.3596,21,0.2020,10
3531,5,b'5-phrase_feature__noun_phrases__current_user_utterance__tunein',51.5776,150,0.1644,11
7892,5,b'5-phrase_feature__noun_phrases__next_system_utterance__lamp',58.0313,124,0.1607,12
22923,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,262,0.1488,13
49,1,b'1-utterance_length.next_system_utterance__utterance_length',392.8140,4,0.1487,14
13791,5,b'5-phrase_feature__noun_phrases__next_user_utterance__netflix',82.7969,89,0.1323,15
22924,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,263,0.1302,16
22907,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=10',0.0000,280,0.1297,17
2464,5,b'5-phrase_feature__noun_phrases__current_user_utterance__open_netflix',125.8770,34,0.1229,18
1515,5,b'5-phrase_feature__noun_phrases__current_user_utterance__happy_holidays',41.9590,217,0.1138,19
7114,5,b'5-phrase_feature__noun_phrases__next_system_utterance__home',58.7082,123,0.1086,20
18086,6,b'6-entity_feature__entity__next_user_utterance__batman_PERSON',41.9590,254,0.1049,21
22917,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=109',0.0000,271,0.1036,22
18911,7,b'7-syntactic_feature__obj_word__current_user_utterance__pizza',54.7192,139,0.0933,23
17517,6,b'6-entity_feature__entity__next_system_utterance__right now_DATE',44.4310,176,0.0882,24
22922,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,261,0.0860,25
19381,7,b'7-syntactic_feature__obj_word__next_system_utterance__question',57.4095,127,0.0853,26
22912,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=104',0.0000,276,0.0851,27
18307,6,b'6-entity_feature__entity__next_user_utterance__katy perry roar_PERSON',41.9590,222,0.0848,28
21246,7,b'7-syntactic_feature__root_word__next_system_utterance__understand',263.0493,9,0.0779,29
11478,5,b'5-phrase_feature__noun_phrases__next_system_utterance__video',259.9380,10,0.0772,30
18331,6,b'6-entity_feature__entity__next_user_utterance__london england_LOCATION',41.9590,220,0.0745,31
18944,7,b'7-syntactic_feature__obj_word__current_user_utterance__remind',54.5186,146,0.0727,32
36,2.1,b'2.1-user_action_words.current_user_utterance__timer',88.1845,63,0.0665,33
22906,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=1',0.0000,281,0.0645,34
19309,7,b'7-syntactic_feature__obj_word__next_system_utterance__me',309.9814,6,0.0628,35
3534,5,b'5-phrase_feature__noun_phrases__current_user_utterance__tunein_station',125.8770,33,0.0619,36
22932,10.2.1,b'10.2.1-d2v_similarity.next_user_utterance_pairs__cosine',0.0000,283,0.0613,37
18723,7,b'7-syntactic_feature__obj_word__current_user_utterance__event',41.9590,195,0.0605,38
7626,5,b'5-phrase_feature__noun_phrases__next_system_utterance__items',60.4207,119,0.0536,39
19388,7,b'7-syntactic_feature__obj_word__next_system_utterance__remind',46.0358,172,0.0522,40
8029,5,b'5-phrase_feature__noun_phrases__next_system_utterance__light',80.3700,91,0.0496,41
9015,5,b'5-phrase_feature__noun_phrases__next_system_utterance__orange_juice',41.9590,247,0.0472,42
