id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
1055,7,b'7-syntactic_feature__subj_word__next_system_utterance__you',2188.7270,0,1.0000,0
835,7,b'7-syntactic_feature__root_word__next_user_utterance__thank',774.3776,3,0.4125,1
1,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,512,0.1636,2
1017,7,b'7-syntactic_feature__subj_word__next_system_utterance__number',376.5040,13,0.1117,3
550,7,b'7-syntactic_feature__root_word__next_system_utterance__hous',7.5151,408,0.0680,4
579,7,b'7-syntactic_feature__root_word__next_system_utterance__restaur',404.8427,11,0.0579,5
558,7,b'7-syntactic_feature__root_word__next_system_utterance__let',253.6060,19,0.0408,6
545,7,b'7-syntactic_feature__root_word__next_system_utterance__hall',7.5151,407,0.0304,7
46,7,b'7-syntactic_feature__obj_word__current_user_utterance__televis',99.3218,35,0.0261,8
762,7,b'7-syntactic_feature__root_word__next_user_utterance__no',192.4609,21,0.0250,9
667,7,b'7-syntactic_feature__root_word__next_user_utterance__doe',7.9064,382,0.0249,10
508,7,b'7-syntactic_feature__root_word__next_system_utterance__allow',10.0600,319,0.0235,11
874,7,b'7-syntactic_feature__root_word__next_user_utterance__ye',102.8412,33,0.0202,12
879,7,b'7-syntactic_feature__subj_word__current_user_utterance__address',192.6696,20,0.0180,13
1049,7,b'7-syntactic_feature__subj_word__next_system_utterance__twenty-four',35.5734,85,0.0172,14
983,7,b'7-syntactic_feature__subj_word__next_system_utterance__casbah',47.7404,70,0.0168,15
865,7,b'7-syntactic_feature__root_word__next_user_utterance__what',562.5987,6,0.0165,16
580,7,b'7-syntactic_feature__root_word__next_system_utterance__road',18.3329,192,0.0162,17
186,7,b'7-syntactic_feature__root_word__current_user_utterance__ditton',66.1584,48,0.0161,18
236,7,b'7-syntactic_feature__root_word__current_user_utterance__intern',9.5071,344,0.0160,19
559,7,b'7-syntactic_feature__root_word__next_system_utterance__like',617.6721,5,0.0155,20
633,7,b'7-syntactic_feature__root_word__next_user_utterance__cafe',10.3940,313,0.0153,21
530,7,b'7-syntactic_feature__root_word__next_system_utterance__english',25.9837,144,0.0141,22
567,7,b'7-syntactic_feature__root_word__next_system_utterance__parad',15.5434,215,0.0140,23
632,7,b'7-syntactic_feature__root_word__next_user_utterance__bye',23.6408,155,0.0135,24
908,7,b'7-syntactic_feature__subj_word__current_user_utterance__im',5.7065,467,0.0133,25
690,7,b'7-syntactic_feature__root_word__next_user_utterance__get',32.8407,94,0.0131,26
359,7,b'7-syntactic_feature__root_word__current_user_utterance__tradit',12.6200,265,0.0129,27
70,7,b'7-syntactic_feature__obj_word__next_system_utterance__type',442.7794,9,0.0126,28
725,7,b'7-syntactic_feature__root_word__next_user_utterance__it',67.8629,47,0.0125,29
588,7,b'7-syntactic_feature__root_word__next_system_utterance__take',35.0865,87,0.0125,30
768,7,b'7-syntactic_feature__root_word__next_user_utterance__number',78.1672,43,0.0122,31
154,7,b'7-syntactic_feature__root_word__current_user_utterance__cafe',20.5411,174,0.0121,32
716,7,b'7-syntactic_feature__root_word__next_user_utterance__im',78.7491,41,0.0116,33
1093,7,b'7-syntactic_feature__subj_word__next_user_utterance__number',137.4681,27,0.0112,34
1027,7,b'7-syntactic_feature__subj_word__next_system_utterance__restaur',34.9138,89,0.0110,35
969,7,b'7-syntactic_feature__subj_word__next_system_utterance__baker',44.5004,74,0.0107,36
907,7,b'7-syntactic_feature__subj_word__current_user_utterance__i',25.8967,145,0.0105,37
1022,7,b'7-syntactic_feature__subj_word__next_system_utterance__price',310.9899,16,0.0102,38
1012,7,b'7-syntactic_feature__subj_word__next_system_utterance__lion',47.2831,71,0.0101,39
371,7,b'7-syntactic_feature__root_word__current_user_utterance__unintellig',6.5325,444,0.0095,40
