id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
12065,7,b'7-syntactic_feature__subj_word__next_system_utterance__you',2188.7270,2,1.0000,0
27,3,b'3-time_feature__time_ratio',170.5127,93,0.1470,1
7753,4.1,b'4.1-ngram.next_user_utterance__thank',333.4715,49,0.1139,2
12032,7,b'7-syntactic_feature__subj_word__next_system_utterance__price',310.9899,56,0.1088,3
9451,5,b'5-phrase_feature__noun_phrases__next_system_utterance__postcode',199.0477,79,0.0900,4
12166,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1020',0.0000,505,0.0837,5
11569,7,b'7-syntactic_feature__root_word__next_system_utterance__like',617.6721,10,0.0769,6
7071,4.1,b'4.1-ngram.next_user_utterance__bye',223.3413,71,0.0601,7
12155,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1010',0.0000,494,0.0568,8
1322,1,b'1-utterance_length.next_system_utterance__utterance_length',301.5740,57,0.0526,9
11563,7,b'7-syntactic_feature__root_word__next_system_utterance__is',146.7035,102,0.0518,10
29,3,b'3-time_feature__turns_to_end',10060.3908,0,0.0492,11
7077,4.1,b'4.1-ngram.next_user_utterance__care',249.4201,63,0.0488,12
8383,5,b'5-phrase_feature__noun_phrases__current_user_utterance__looking',80.9568,176,0.0474,13
7250,4.1,b'4.1-ngram.next_user_utterance__good',221.3249,72,0.0417,14
7762,4.1,b'4.1-ngram.next_user_utterance__thank goodbye',178.8764,90,0.0416,15
9544,5,b'5-phrase_feature__noun_phrases__next_system_utterance__restaurant',182.7536,87,0.0410,16
11593,7,b'7-syntactic_feature__root_word__next_system_utterance__serv',137.5642,105,0.0408,17
5620,4.1,b'4.1-ngram.next_system_utterance__pounds',78.9269,182,0.0406,18
4739,4.1,b'4.1-ngram.next_system_utterance__looking',150.2643,99,0.0398,19
9166,5,b'5-phrase_feature__noun_phrases__next_system_utterance__example',1813.1816,3,0.0378,20
7511,4.1,b'4.1-ngram.next_user_utterance__number',169.3241,94,0.0370,21
39,4.1,b'4.1-ngram.current_user_utterance__address',344.7469,47,0.0355,22
9651,5,b'5-phrase_feature__noun_phrases__next_system_utterance__street',191.0994,83,0.0354,23
12152,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1008',0.0000,468,0.0343,24
10074,5,b'5-phrase_feature__noun_phrases__next_user_utterance__goodbye',311.8463,55,0.0329,25
10340,5,b'5-phrase_feature__noun_phrases__next_user_utterance__restaurant',240.2505,64,0.0329,26
11889,7,b'7-syntactic_feature__subj_word__current_user_utterance__address',192.6696,81,0.0312,27
12179,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1032',0.0000,473,0.0302,28
