id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
0,1,b'1-utterance_length.current_user_utterance__utterance_length',223.7570,53,0.0134,139
4,2.1,b'2.1-user_action_words.current_user_utterance__discard',31.9095,413,0.0119,149
6,2.1,b'2.1-user_action_words.current_user_utterance__food',15.3344,885,0.0001,1079
7,2.1,b'2.1-user_action_words.current_user_utterance__item',117.9209,109,0.0000,1711
12,2.1,b'2.1-user_action_words.current_user_utterance__number',23.8840,600,0.0006,702
14,2.1,b'2.1-user_action_words.current_user_utterance__phone',13.2308,1639,0.0000,1713
17,2.1,b'2.1-user_action_words.current_user_utterance__remind',70.4358,185,0.0139,133
18,2.1,b'2.1-user_action_words.current_user_utterance__remov',17.8201,741,0.0071,234
23,2.1,b'2.1-user_action_words.current_user_utterance__tell',13.7466,1585,0.0035,350
24,2.1,b'2.1-user_action_words.current_user_utterance__time',22.0294,634,0.0000,1320
28,2.2,b'2.2-#user_action_words.current_user_utterance__utterance_length',12.4563,1714,0.0002,1026
30,3,b'3-time_feature__end_of_session',272.2220,36,1.0000,0
31,3,b'3-time_feature__start_of_session',94.2762,132,0.0237,85
32,3,b'3-time_feature__time_ratio',44.2502,275,0.0047,297
33,3,b'3-time_feature__turns_from_start',229.2487,51,0.0091,192
34,3,b'3-time_feature__turns_to_end',671.9179,10,0.0180,112
125,4.1,b'4.1-ngram.current_user_utterance__1pm tomorrow',12.1433,1762,0.0000,1552
176,4.1,b'4.1-ngram.current_user_utterance__30p',14.7710,932,0.0008,653
203,4.1,b'4.1-ngram.current_user_utterance__530',23.4807,610,0.0014,507
249,4.1,b'4.1-ngram.current_user_utterance__add',24.3396,543,0.0000,1726
301,4.1,b'4.1-ngram.current_user_utterance__add item',21.1614,647,0.0106,164
331,4.1,b'4.1-ngram.current_user_utterance__add items',12.5252,1708,0.0077,223
383,4.1,b'4.1-ngram.current_user_utterance__add reminder',24.4421,542,0.0235,86
440,4.1,b'4.1-ngram.current_user_utterance__alex',20.5885,659,0.0000,1730
493,4.1,b'4.1-ngram.current_user_utterance__august',17.2799,770,0.0011,570
560,4.1,b'4.1-ngram.current_user_utterance__bib',14.7710,934,0.0019,452
561,4.1,b'4.1-ngram.current_user_utterance__bib 30p',14.7710,933,0.0013,535
653,4.1,b'4.1-ngram.current_user_utterance__buy',12.4315,1717,0.0009,629
676,4.1,b'4.1-ngram.current_user_utterance__cancel',15.9750,857,0.0046,307
709,4.1,b'4.1-ngram.current_user_utterance__change bubbles',15.4568,878,0.0004,791
758,4.1,b'4.1-ngram.current_user_utterance__christmas',18.4756,725,0.0008,659
777,4.1,b'4.1-ngram.current_user_utterance__clear',82.0707,150,0.0380,51
778,4.1,b'4.1-ngram.current_user_utterance__clear list',66.7468,200,0.0041,328
779,4.1,b'4.1-ngram.current_user_utterance__clear shopping',16.4140,847,0.0064,249
899,4.1,b'4.1-ngram.current_user_utterance__delay',12.7355,1685,0.0006,715
900,4.1,b'4.1-ngram.current_user_utterance__delay 30',12.7355,1684,0.0009,634
908,4.1,b'4.1-ngram.current_user_utterance__delete list',13.2380,1629,0.0141,129
946,4.1,b'4.1-ngram.current_user_utterance__discard',41.2104,308,0.0192,103
949,4.1,b'4.1-ngram.current_user_utterance__discard reminder',19.9029,676,0.0027,393
950,4.1,b'4.1-ngram.current_user_utterance__discard request',20.8234,652,0.0046,304
1013,4.1,b'4.1-ngram.current_user_utterance__edit',36.9069,367,0.0006,735
1015,4.1,b'4.1-ngram.current_user_utterance__edit reminder',14.4332,952,0.0005,780
1028,4.1,b'4.1-ngram.current_user_utterance__energy',16.8265,814,0.0002,992
1055,4.1,b'4.1-ngram.current_user_utterance__fan',17.1789,772,0.0000,1677
1240,4.1,b'4.1-ngram.current_user_utterance__help',21.6342,642,0.0054,275
1299,4.1,b'4.1-ngram.current_user_utterance__item',25.7367,515,0.0000,1678
1516,4.1,b'4.1-ngram.current_user_utterance__list',17.3641,766,0.0862,23
1523,4.1,b'4.1-ngram.current_user_utterance__list mattia',18.4355,726,0.0016,483
1565,4.1,b'4.1-ngram.current_user_utterance__lucy',23.3169,618,0.0001,1182
1677,4.1,b'4.1-ngram.current_user_utterance__minutes',25.7377,514,0.0004,809
1726,4.1,b'4.1-ngram.current_user_utterance__new',14.5091,944,0.0213,95
1772,4.1,b'4.1-ngram.current_user_utterance__number',14.3878,959,0.0038,337
1970,4.1,b'4.1-ngram.current_user_utterance__ray',12.2972,1727,0.0000,1435
1989,4.1,b'4.1-ngram.current_user_utterance__recycling',12.7488,1682,0.0005,774
2006,4.1,b'4.1-ngram.current_user_utterance__remind',80.0008,155,0.0334,60
2012,4.1,b'4.1-ngram.current_user_utterance__remind 30',13.5525,1596,0.0042,322
2015,4.1,b'4.1-ngram.current_user_utterance__remind alex',19.8668,678,0.0031,371
2024,4.1,b'4.1-ngram.current_user_utterance__remind buy',12.5090,1710,0.0000,1674
2072,4.1,b'4.1-ngram.current_user_utterance__remind hours',18.1421,733,0.0034,360
2088,4.1,b'4.1-ngram.current_user_utterance__remind lois',13.5483,1597,0.0067,241
2094,4.1,b'4.1-ngram.current_user_utterance__remind lucy',22.8215,623,0.0068,239
2121,4.1,b'4.1-ngram.current_user_utterance__remind ray',12.2972,1726,0.0000,1286
2122,4.1,b'4.1-ngram.current_user_utterance__remind recycling',12.7488,1683,0.0005,761
2161,4.1,b'4.1-ngram.current_user_utterance__reminder',61.4610,217,0.0547,30
2174,4.1,b'4.1-ngram.current_user_utterance__reminders',18.3222,728,0.1192,16
2217,4.1,b'4.1-ngram.current_user_utterance__remove member',12.1680,1733,0.0076,224
2225,4.1,b'4.1-ngram.current_user_utterance__remove reminder',33.9477,392,0.0281,72
2226,4.1,b'4.1-ngram.current_user_utterance__remove reminders',14.5267,943,0.0025,418
2227,4.1,b'4.1-ngram.current_user_utterance__remove remove',24.3106,544,0.0018,467
2237,4.1,b'4.1-ngram.current_user_utterance__removed',15.3468,883,0.0054,278
2238,4.1,b'4.1-ngram.current_user_utterance__remover',15.5012,873,0.0103,172
2250,4.1,b'4.1-ngram.current_user_utterance__request',12.7329,1686,0.0021,446
2347,4.1,b'4.1-ngram.current_user_utterance__set',12.2262,1730,0.0067,242
2348,4.1,b'4.1-ngram.current_user_utterance__set reminder',18.8000,716,0.0096,185
2357,4.1,b'4.1-ngram.current_user_utterance__share',13.4530,1605,0.0000,1738
2359,4.1,b'4.1-ngram.current_user_utterance__share list mattia',13.1374,1649,0.0001,1106
2360,4.1,b'4.1-ngram.current_user_utterance__share shopping',12.4380,1716,0.0007,670
2361,4.1,b'4.1-ngram.current_user_utterance__share shopping list',12.4380,1715,0.0007,661
2367,4.1,b'4.1-ngram.current_user_utterance__shilpa',14.8204,927,0.0000,1382
2404,4.1,b'4.1-ngram.current_user_utterance__soon',12.9390,1666,0.0005,768
2535,4.1,b'4.1-ngram.current_user_utterance__time',17.9000,739,0.0007,688
2778,4.1,b'4.1-ngram.current_user_utterance__yes',37.0292,365,0.0054,273
2792,1,b'1-utterance_length.next_system_utterance__utterance_length',897.9034,8,0.0381,50
2840,4.1,b'4.1-ngram.next_system_utterance__10 pm hours',16.6183,830,0.0000,1780
2854,4.1,b'4.1-ngram.next_system_utterance__10pm',31.3312,420,0.0000,1781
2855,4.1,b'4.1-ngram.next_system_utterance__10pm nyou',32.1431,409,0.0000,1782
2856,4.1,b'4.1-ngram.next_system_utterance__10pm nyou discard',32.1431,408,0.0000,1783
3092,4.1,b'4.1-ngram.next_system_utterance__19 pm',18.9774,711,0.0000,1784
3096,4.1,b'4.1-ngram.next_system_utterance__19 pm nyou',20.8540,651,0.0004,824
3098,4.1,b'4.1-ngram.next_system_utterance__1st',12.7133,1687,0.0000,1786
