id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
4223,7,b'7-syntactic_feature__subj_word__next_system_utterance__you',2188.7270,2,1.0000,0
4003,7,b'7-syntactic_feature__root_word__next_user_utterance__thank',774.3776,7,0.2538,1
3169,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,32,0.1260,2
58,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,35,0.1186,3
2003,5,b'5-phrase_feature__noun_phrases__next_user_utterance__bye',560.2088,12,0.0771,4
30,3,b'3-time_feature__turns_to_end',10060.3908,0,0.0494,5
3548,7,b'7-syntactic_feature__root_word__current_user_utterance__what',696.0335,8,0.0453,6
1318,5,b'5-phrase_feature__noun_phrases__next_system_utterance__example',1813.1816,3,0.0440,7
3746,7,b'7-syntactic_feature__root_word__next_system_utterance__rang',541.9996,15,0.0435,8
29,3,b'3-time_feature__turns_from_start',2854.4766,1,0.0419,9
4033,7,b'7-syntactic_feature__root_word__next_user_utterance__what',562.5987,11,0.0387,10
3245,7,b'7-syntactic_feature__obj_word__next_user_utterance__bye',466.5424,23,0.0224,11
2387,5,b'5-phrase_feature__noun_phrases__next_user_utterance__number',449.7773,24,0.0213,12
47,2.1,b'2.1-user_action_words.next_user_utterance__number',449.7773,25,0.0211,13
1461,5,b'5-phrase_feature__noun_phrases__next_system_utterance__kind',495.5897,22,0.0206,14
1560,5,b'5-phrase_feature__noun_phrases__next_system_utterance__number',511.3760,20,0.0198,15
25,2.3.1,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,33,0.0196,16
1594,5,b'5-phrase_feature__noun_phrases__next_system_utterance__phone_number',511.3760,21,0.0159,17
1593,5,b'5-phrase_feature__noun_phrases__next_system_utterance__phone',511.3760,19,0.0149,18
2436,5,b'5-phrase_feature__noun_phrases__next_user_utterance__phone_number',438.1765,30,0.0138,19
57,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,34,0.0135,20
2433,5,b'5-phrase_feature__noun_phrases__next_user_utterance__phone',443.1393,27,0.0127,21
630,5,b'5-phrase_feature__noun_phrases__current_user_utterance__number',432.7138,31,0.0123,22
49,2.1,b'2.1-user_action_words.next_user_utterance__phone',443.1393,26,0.0113,23
1497,5,b'5-phrase_feature__noun_phrases__next_system_utterance__looking',1159.8529,4,0.0102,24
3729,7,b'7-syntactic_feature__root_word__next_system_utterance__look',1120.8550,5,0.0101,25
1,2.1,b'2.1-user_action_words.current_user_utterance__address',518.1937,17,0.0090,26
1583,5,b'5-phrase_feature__noun_phrases__next_system_utterance__particular_venue',533.6286,16,0.0087,27
81,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address',517.1957,18,0.0069,28
3727,7,b'7-syntactic_feature__root_word__next_system_utterance__like',617.6721,10,0.0062,29
32,1,b'1-utterance_length.next_user_utterance__utterance_length',665.9143,9,0.0059,30
3170,7,b'7-syntactic_feature__next_subj_words_overlap',0.0000,41,0.0056,31
59,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,36,0.0042,32
2221,5,b'5-phrase_feature__noun_phrases__next_user_utterance__good_bye',554.4238,13,0.0031,33
3168,7,b'7-syntactic_feature__next_obj_words_overlap',0.0000,40,0.0022,34
24,2.2,b'2.2-#user_action_words.current_user_utterance__utterance_length',543.3024,14,0.0015,35
3700,7,b'7-syntactic_feature__root_word__next_system_utterance__exampl',834.1992,6,0.0012,36
1849,5,b'5-phrase_feature__noun_phrases__next_system_utterance__type',442.7794,28,0.0006,37
3238,7,b'7-syntactic_feature__obj_word__next_system_utterance__type',442.7794,29,0.0006,38
3165,6,b'6-entity_feature__next_entity__#overlap',0.0000,37,0.0000,39
3166,6,b'6-entity_feature__next_entity__have_overlap',0.0000,38,0.0000,40
3167,6,b'6-entity_feature__next_entity__jaccard_similarity',0.0000,39,0.0000,41
