id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
8556,4.1,b'4.1-ngram.next_system_utterance__sorry',663.5020,4,1.0000,0
43,3,b'3-time_feature__end_of_session',110.1752,60,0.2842,1
5039,4.1,b'4.1-ngram.next_system_utterance__don understand',211.4860,28,0.2078,2
21022,5,b'5-phrase_feature__noun_phrases__next_system_utterance__ok',118.6848,53,0.1752,3
5021,4.1,b'4.1-ngram.next_system_utterance__don',368.4234,11,0.1591,4
34420,7,b'7-syntactic_feature__subj_word__next_system_utterance__i',1931.1082,0,0.1510,5
21422,5,b'5-phrase_feature__noun_phrases__next_system_utterance__playing',73.0405,125,0.1482,6
32983,7,b'7-syntactic_feature__root_word__next_system_utterance__look',172.2649,34,0.1254,7
5025,4.1,b'4.1-ngram.next_system_utterance__don know',240.5310,21,0.1053,8
2946,1,b'1-utterance_length.next_system_utterance__utterance_length',392.8140,6,0.0917,9
8565,4.1,b'4.1-ngram.next_system_utterance__sorry help',178.4302,32,0.0893,10
9349,4.1,b'4.1-ngram.next_system_utterance__turning',51.4677,200,0.0829,11
31096,7,b'7-syntactic_feature__obj_word__current_user_utterance__timer',76.8242,117,0.0783,12
22230,5,b'5-phrase_feature__noun_phrases__next_system_utterance__seconds',45.3290,243,0.0775,13
20106,5,b'5-phrase_feature__noun_phrases__next_system_utterance__lights',91.3558,80,0.0769,14
34492,7,b'7-syntactic_feature__subj_word__next_system_utterance__ok',74.8827,119,0.0766,15
22274,5,b'5-phrase_feature__noun_phrases__next_system_utterance__setting',98.0135,72,0.0729,16
5830,4.1,b'4.1-ngram.next_system_utterance__help',575.0181,5,0.0599,17
33074,7,b'7-syntactic_feature__root_word__next_system_utterance__play',60.3412,157,0.0529,18
33261,7,b'7-syntactic_feature__root_word__next_system_utterance__tell',293.9360,14,0.0528,19
8561,4.1,b'4.1-ngram.next_system_utterance__sorry don',323.0077,12,0.0487,20
33023,7,b'7-syntactic_feature__root_word__next_system_utterance__need',165.1823,35,0.0482,21
23343,5,b'5-phrase_feature__noun_phrases__next_system_utterance__turning',240.5849,20,0.0472,22
34967,8.1,b'8.1-lda_feature.current_user_utterance__topic_11',0.0000,259,0.0462,23
8244,4.1,b'4.1-ngram.next_system_utterance__screen',69.2170,136,0.0459,24
33299,7,b'7-syntactic_feature__root_word__next_system_utterance__turn',68.4163,139,0.0456,25
29487,6,b'6-entity_feature__entity__next_system_utterance__now_DATE',70.7557,133,0.0442,26
33295,7,b'7-syntactic_feature__root_word__next_system_utterance__tri',150.5583,39,0.0440,27
20545,5,b'5-phrase_feature__noun_phrases__next_system_utterance__minutes',103.8777,70,0.0437,28
19957,5,b'5-phrase_feature__noun_phrases__next_system_utterance__lamp',58.0313,163,0.0434,29
32849,7,b'7-syntactic_feature__root_word__next_system_utterance__got',142.9711,42,0.0423,30
4919,4.1,b'4.1-ngram.next_system_utterance__device',95.2261,74,0.0412,31
32866,7,b'7-syntactic_feature__root_word__next_system_utterance__help',237.1259,23,0.0379,32
31328,7,b'7-syntactic_feature__obj_word__next_system_utterance__it',107.4299,65,0.0375,33
32954,7,b'7-syntactic_feature__root_word__next_system_utterance__know',726.7511,3,0.0368,34
6328,4.1,b'4.1-ngram.next_system_utterance__know',226.4448,25,0.0344,35
16275,5,b'5-phrase_feature__noun_phrases__next_system_utterance__alright',111.9174,58,0.0302,36
9322,4.1,b'4.1-ngram.next_system_utterance__try',48.8943,219,0.0302,37
33251,7,b'7-syntactic_feature__root_word__next_system_utterance__sure',50.8077,204,0.0301,38
33329,7,b'7-syntactic_feature__root_word__next_system_utterance__want',96.1046,73,0.0300,39
14252,5,b'5-phrase_feature__noun_phrases__current_user_utterance__minutes',46.4813,240,0.0293,40
32813,7,b'7-syntactic_feature__root_word__next_system_utterance__find',92.2110,79,0.0282,41
33076,7,b'7-syntactic_feature__root_word__next_system_utterance__pleas',62.3054,152,0.0269,42
34559,7,b'7-syntactic_feature__subj_word__next_system_utterance__sorri',66.5301,142,0.0248,43
34257,7,b'7-syntactic_feature__subj_word__next_system_utterance__alright',44.0578,253,0.0247,44
25856,5,b'5-phrase_feature__noun_phrases__next_user_utterance__netflix',82.7969,110,0.0234,45
33305,7,b'7-syntactic_feature__root_word__next_system_utterance__understand',263.0493,16,0.0233,46
