id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
29,3,b'3-time_feature__end_of_session',272.2220,36,1.0000,0
30948,5,b'5-phrase_feature__noun_phrases__next_system_utterance__example',743.7167,9,0.4397,1
7243,4.1,b'4.1-ngram.next_system_utterance__didn',80.2682,153,0.3008,2
32460,5,b'5-phrase_feature__noun_phrases__next_system_utterance__list',169.7379,86,0.2565,3
44765,7,b'7-syntactic_feature__root_word__next_system_utterance__alright',168.0968,89,0.2219,4
44748,7,b'7-syntactic_feature__root_word__next_system_utterance__ad',267.7295,38,0.2070,5
31428,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great',279.4974,34,0.1994,6
43694,7,b'7-syntactic_feature__obj_word__next_system_utterance__that',285.7022,32,0.1914,7
29085,5,b'5-phrase_feature__noun_phrases__next_system_utterance__alright',169.3287,87,0.1764,8
45181,7,b'7-syntactic_feature__root_word__next_system_utterance__great',279.0882,35,0.1570,9
45472,7,b'7-syntactic_feature__root_word__next_system_utterance__ok',56.2694,232,0.1365,10
33718,5,b'5-phrase_feature__noun_phrases__next_system_utterance__person',64.3151,208,0.1133,11
16918,4.1,b'4.1-ngram.next_system_utterance__nyou discard',246.7700,44,0.1120,12
16919,4.1,b'4.1-ngram.next_system_utterance__nyou discard request',246.7700,45,0.1107,13
32024,5,b'5-phrase_feature__noun_phrases__next_system_utterance__items',178.0366,84,0.1098,14
47009,8.1,b'8.1-lda_feature.current_user_utterance__topic_13',0.0000,294,0.1022,15
47011,8.1,b'8.1-lda_feature.current_user_utterance__topic_15',0.0000,292,0.0973,16
33295,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nyou',1238.2639,1,0.0955,17
45459,7,b'7-syntactic_feature__root_word__next_system_utterance__ntri',242.0051,47,0.0947,18
33106,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_nhere',251.1650,43,0.0909,19
47015,8.1,b'8.1-lda_feature.current_user_utterance__topic_19',0.0000,288,0.0821,20
36141,5,b'5-phrase_feature__noun_phrases__next_system_utterance__yes/no',351.6712,18,0.0806,21
3511,4.1,b'4.1-ngram.next_system_utterance__add items',59.7357,221,0.0791,22
35552,5,b'5-phrase_feature__noun_phrases__next_system_utterance__time',246.1264,46,0.0679,23
45115,7,b'7-syntactic_feature__root_word__next_system_utterance__find',344.4768,20,0.0668,24
18800,4.1,b'4.1-ngram.next_system_utterance__reminder ntry',62.8033,212,0.0664,25
39123,5,b'5-phrase_feature__noun_phrases__next_user_utterance__today',76.4376,162,0.0654,26
3499,4.1,b'4.1-ngram.next_system_utterance__add',67.8749,189,0.0651,27
34916,5,b'5-phrase_feature__noun_phrases__next_system_utterance__shopping',76.1704,168,0.0637,28
16638,4.1,b'4.1-ngram.next_system_utterance__nfor example',184.8938,81,0.0623,29
33038,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n1',295.9841,30,0.0619,30
47026,8.1,b'8.1-lda_feature.current_user_utterance__topic_29',0.0000,315,0.0617,31
47010,8.1,b'8.1-lda_feature.current_user_utterance__topic_14',0.0000,293,0.0612,32
16637,4.1,b'4.1-ngram.next_system_utterance__nfor',184.8938,82,0.0594,33
35461,5,b'5-phrase_feature__noun_phrases__next_system_utterance__task',87.7669,142,0.0585,34
43523,7,b'7-syntactic_feature__obj_word__next_system_utterance__n5',59.7503,220,0.0541,35
47020,8.1,b'8.1-lda_feature.current_user_utterance__topic_23',0.0000,302,0.0539,36
7330,4.1,b'4.1-ngram.next_system_utterance__discard',222.9657,54,0.0512,37
16915,4.1,b'4.1-ngram.next_system_utterance__nyou',213.1769,71,0.0511,38
20268,4.1,b'4.1-ngram.next_system_utterance__sorry',85.8791,144,0.0509,39
44472,7,b'7-syntactic_feature__root_word__current_user_utterance__discard',64.9271,204,0.0494,40
43398,7,b'7-syntactic_feature__obj_word__next_system_utterance__item',270.4851,37,0.0487,41
33090,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n7',129.8713,105,0.0479,42
47036,8.1,b'8.1-lda_feature.current_user_utterance__topic_38',0.0000,305,0.0466,43
22738,1,b'1-utterance_length.next_user_utterance__utterance_length',285.2474,33,0.0465,44
21793,4.1,b'4.1-ngram.next_system_utterance__understand',55.2939,235,0.0462,45
47004,8.1,b'8.1-lda_feature.current_user_utterance__topic_0',0.0000,299,0.0461,46
45617,7,b'7-syntactic_feature__root_word__next_system_utterance__remov',121.4450,107,0.0456,47
32325,5,b'5-phrase_feature__noun_phrases__next_system_utterance__learning',214.5064,70,0.0445,48
45372,7,b'7-syntactic_feature__root_word__next_system_utterance__milk',69.2227,188,0.0445,49
33060,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n3',241.9232,48,0.0445,50
40591,6,b'6-entity_feature__entity__next_system_utterance__\\_NUMBER',197.4073,78,0.0435,51
31483,5,b'5-phrase_feature__noun_phrases__next_system_utterance__group_members',71.7207,180,0.0433,52
45556,7,b'7-syntactic_feature__root_word__next_system_utterance__pleas',85.1059,145,0.0427,53
47012,8.1,b'8.1-lda_feature.current_user_utterance__topic_16',0.0000,291,0.0426,54
47029,8.1,b'8.1-lda_feature.current_user_utterance__topic_31',0.0000,311,0.0409,55
6678,4.1,b'4.1-ngram.next_system_utterance__couldn',50.9553,253,0.0409,56
