id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
1,8.1,b'8.1-lda_feature.current_user_utterance__topic_1',0.0000,2,1.0000,0
32,8.2.1,b'8.2.1-lda_similarity.next_user_utterance_pairs__cosine',0.0000,0,0.1890,1
0,8.1,b'8.1-lda_feature.current_user_utterance__topic_0',0.0000,32,0.1419,2
28,8.1,b'8.1-lda_feature.current_user_utterance__topic_34',0.0000,29,0.0549,3
12,8.1,b'8.1-lda_feature.current_user_utterance__topic_2',0.0000,13,0.0488,4
18,8.1,b'8.1-lda_feature.current_user_utterance__topic_25',0.0000,19,0.0321,5
7,8.1,b'8.1-lda_feature.current_user_utterance__topic_15',0.0000,8,0.0267,6
15,8.1,b'8.1-lda_feature.current_user_utterance__topic_22',0.0000,1,0.0240,7
25,8.1,b'8.1-lda_feature.current_user_utterance__topic_31',0.0000,26,0.0235,8
16,8.1,b'8.1-lda_feature.current_user_utterance__topic_23',0.0000,16,0.0223,9
13,8.1,b'8.1-lda_feature.current_user_utterance__topic_20',0.0000,14,0.0157,10
5,8.1,b'8.1-lda_feature.current_user_utterance__topic_13',0.0000,6,0.0128,11
27,8.1,b'8.1-lda_feature.current_user_utterance__topic_33',0.0000,28,0.0122,12
10,8.1,b'8.1-lda_feature.current_user_utterance__topic_18',0.0000,11,0.0121,13
2,8.1,b'8.1-lda_feature.current_user_utterance__topic_10',0.0000,3,0.0118,14
3,8.1,b'8.1-lda_feature.current_user_utterance__topic_11',0.0000,4,0.0116,15
8,8.1,b'8.1-lda_feature.current_user_utterance__topic_16',0.0000,9,0.0114,16
21,8.1,b'8.1-lda_feature.current_user_utterance__topic_28',0.0000,22,0.0100,17
11,8.1,b'8.1-lda_feature.current_user_utterance__topic_19',0.0000,12,0.0092,18
24,8.1,b'8.1-lda_feature.current_user_utterance__topic_30',0.0000,25,0.0077,19
4,8.1,b'8.1-lda_feature.current_user_utterance__topic_12',0.0000,5,0.0069,20
20,8.1,b'8.1-lda_feature.current_user_utterance__topic_27',0.0000,21,0.0053,21
31,8.1,b'8.1-lda_feature.current_user_utterance__topic_37',0.0000,17,0.0045,22
19,8.1,b'8.1-lda_feature.current_user_utterance__topic_26',0.0000,20,0.0041,23
14,8.1,b'8.1-lda_feature.current_user_utterance__topic_21',0.0000,15,0.0041,24
17,8.1,b'8.1-lda_feature.current_user_utterance__topic_24',0.0000,18,0.0035,25
23,8.1,b'8.1-lda_feature.current_user_utterance__topic_3',0.0000,24,0.0035,26
9,8.1,b'8.1-lda_feature.current_user_utterance__topic_17',0.0000,10,0.0030,27
26,8.1,b'8.1-lda_feature.current_user_utterance__topic_32',0.0000,27,0.0028,28
30,8.1,b'8.1-lda_feature.current_user_utterance__topic_36',0.0000,31,0.0021,29
22,8.1,b'8.1-lda_feature.current_user_utterance__topic_29',0.0000,23,0.0020,30
6,8.1,b'8.1-lda_feature.current_user_utterance__topic_14',0.0000,7,0.0012,31
29,8.1,b'8.1-lda_feature.current_user_utterance__topic_35',0.0000,30,0.0006,32
