id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
4223,7,b'7-syntactic_feature__subj_word__next_system_utterance__you',2188.7270,2,1.0000,0
4298,8.1,b'8.1-lda_feature.current_user_utterance__topic_0',0.0000,304,0.2199,1
4190,7,b'7-syntactic_feature__subj_word__next_system_utterance__price',310.9899,54,0.1113,2
2226,5,b'5-phrase_feature__noun_phrases__next_user_utterance__goodbye',311.8463,53,0.0952,3
4364,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,276,0.0948,4
31,1,b'1-utterance_length.next_system_utterance__utterance_length',301.5740,55,0.0789,5
4301,8.1,b'8.1-lda_feature.current_user_utterance__topic_11',0.0000,301,0.0748,6
28,3,b'3-time_feature__time_ratio',170.5127,76,0.0720,7
4372,8.2.1,b'8.2.1-lda_similarity.next_user_utterance_pairs__cosine',0.0000,330,0.0602,8
4365,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,277,0.0574,9
4370,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,266,0.0565,10
3751,7,b'7-syntactic_feature__root_word__next_system_utterance__serv',137.5642,83,0.0523,11
1603,5,b'5-phrase_feature__noun_phrases__next_system_utterance__postcode',199.0477,68,0.0480,12
4302,8.1,b'8.1-lda_feature.current_user_utterance__topic_12',0.0000,300,0.0440,13
3721,7,b'7-syntactic_feature__root_word__next_system_utterance__is',146.7035,80,0.0432,14
4003,7,b'7-syntactic_feature__root_word__next_user_utterance__thank',774.3776,7,0.0342,15
2135,5,b'5-phrase_feature__noun_phrases__next_user_utterance__doesnt_matter',128.3749,91,0.0337,16
4299,8.1,b'8.1-lda_feature.current_user_utterance__topic_1',0.0000,303,0.0323,17
3726,7,b'7-syntactic_feature__root_word__next_system_utterance__let',253.6060,59,0.0296,18
1696,5,b'5-phrase_feature__noun_phrases__next_system_utterance__restaurant',182.7536,73,0.0288,19
1497,5,b'5-phrase_feature__noun_phrases__next_system_utterance__looking',1159.8529,4,0.0288,20
4047,7,b'7-syntactic_feature__subj_word__current_user_utterance__address',192.6696,70,0.0260,21
2013,5,b'5-phrase_feature__noun_phrases__next_user_utterance__care',419.7978,38,0.0243,22
535,5,b'5-phrase_feature__noun_phrases__current_user_utterance__looking',80.9568,141,0.0239,23
1067,5,b'5-phrase_feature__noun_phrases__next_system_utterance__area',130.4845,90,0.0236,24
3679,7,b'7-syntactic_feature__root_word__next_system_utterance__area',118.9033,92,0.0231,25
2003,5,b'5-phrase_feature__noun_phrases__next_user_utterance__bye',560.2088,12,0.0227,26
4362,2.3.1,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,273,0.0220,27
2320,5,b'5-phrase_feature__noun_phrases__next_user_utterance__matter',143.8108,82,0.0212,28
4315,8.1,b'8.1-lda_feature.current_user_utterance__topic_24',0.0000,286,0.0205,29
290,5,b'5-phrase_feature__noun_phrases__current_user_utterance__code',61.5772,200,0.0182,30
3727,7,b'7-syntactic_feature__root_word__next_system_utterance__like',617.6721,10,0.0175,31
2836,6,b'6-entity_feature__entity__next_system_utterance__50_NUMBER',93.6761,116,0.0172,32
3729,7,b'7-syntactic_feature__root_word__next_system_utterance__look',1120.8550,5,0.0172,33
2800,6,b'6-entity_feature__entity__next_system_utterance__2 pounds_MONEY',103.1301,104,0.0172,34
30,3,b'3-time_feature__turns_to_end',10060.3908,0,0.0161,35
1803,5,b'5-phrase_feature__noun_phrases__next_system_utterance__street',191.0994,72,0.0160,36
