id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
31442,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great',279.4974,34,1.0000,0
30,3,b'3-time_feature__end_of_session',272.2220,36,0.9597,1
44785,7,b'7-syntactic_feature__root_word__next_system_utterance__alright',168.0968,89,0.7961,2
33052,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n1',295.9841,30,0.7820,3
29097,5,b'5-phrase_feature__noun_phrases__next_system_utterance__alright',169.3287,87,0.6550,4
7246,4.1,b'4.1-ngram.next_system_utterance__didn',80.2682,153,0.6426,5
36155,5,b'5-phrase_feature__noun_phrases__next_system_utterance__yes/no',351.6712,18,0.4574,6
47283,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=196',0.0000,3130,0.3971,7
43714,7,b'7-syntactic_feature__obj_word__next_system_utterance__that',285.7022,32,0.3506,8
30962,5,b'5-phrase_feature__noun_phrases__next_system_utterance__example',743.7167,9,0.3092,9
33732,5,b'5-phrase_feature__noun_phrases__next_system_utterance__person',64.3151,208,0.3016,10
44426,7,b'7-syntactic_feature__root_word__current_user_utterance__add',106.3339,115,0.2909,11
47299,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=21',0.0000,3146,0.2849,12
43418,7,b'7-syntactic_feature__obj_word__next_system_utterance__item',270.4851,37,0.2848,13
45135,7,b'7-syntactic_feature__root_word__next_system_utterance__find',344.4768,20,0.2506,14
35566,5,b'5-phrase_feature__noun_phrases__next_system_utterance__time',246.1264,46,0.2481,15
32474,5,b'5-phrase_feature__noun_phrases__next_system_utterance__list',169.7379,86,0.2413,16
7333,4.1,b'4.1-ngram.next_system_utterance__discard',222.9657,54,0.2079,17
47292,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=203',0.0000,3139,0.1991,18
47033,8.1,b'8.1-lda_feature.current_user_utterance__topic_17',0.0000,3225,0.1892,19
45201,7,b'7-syntactic_feature__root_word__next_system_utterance__great',279.0882,35,0.1882,20
47024,8.1,b'8.1-lda_feature.current_user_utterance__topic_0',0.0000,3234,0.1857,21
47026,8.1,b'8.1-lda_feature.current_user_utterance__topic_10',0.0000,3232,0.1723,22
34550,5,b'5-phrase_feature__noun_phrases__next_system_utterance__request',1501.9779,0,0.1672,23
16927,4.1,b'4.1-ngram.next_system_utterance__nyou discard request',246.7700,44,0.1623,24
16926,4.1,b'4.1-ngram.next_system_utterance__nyou discard',246.7700,45,0.1544,25
47027,8.1,b'8.1-lda_feature.current_user_utterance__topic_11',0.0000,3231,0.1491,26
32339,5,b'5-phrase_feature__noun_phrases__next_system_utterance__learning',214.5064,70,0.1414,27
32038,5,b'5-phrase_feature__noun_phrases__next_system_utterance__items',178.0366,84,0.1411,28
45392,7,b'7-syntactic_feature__root_word__next_system_utterance__milk',69.2227,188,0.1276,29
33105,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n8',120.1275,108,0.1246,30
47290,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=201',0.0000,3137,0.1232,31
45576,7,b'7-syntactic_feature__root_word__next_system_utterance__pleas',85.1059,145,0.1210,32
47236,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=153',0.0000,3162,0.1182,33
43543,7,b'7-syntactic_feature__obj_word__next_system_utterance__n5',59.7503,220,0.1177,34
45479,7,b'7-syntactic_feature__root_word__next_system_utterance__ntri',242.0051,47,0.1141,35
6681,4.1,b'4.1-ngram.next_system_utterance__couldn',50.9553,253,0.1131,36
2792,1,b'1-utterance_length.next_system_utterance__utterance_length',897.9034,8,0.1119,37
47037,8.1,b'8.1-lda_feature.current_user_utterance__topic_20',0.0000,3221,0.1114,38
45492,7,b'7-syntactic_feature__root_word__next_system_utterance__ok',56.2694,232,0.1098,39
44768,7,b'7-syntactic_feature__root_word__next_system_utterance__ad',267.7295,38,0.1075,40
45909,7,b'7-syntactic_feature__root_word__next_system_utterance__what',303.6067,26,0.1074,41
44739,7,b"7-syntactic_feature__root_word__next_system_utterance__''",339.6939,21,0.1065,42
47044,8.1,b'8.1-lda_feature.current_user_utterance__topic_27',0.0000,3241,0.1053,43
47130,8.1,b'8.1-lda_feature.next_user_utterance__topic_14',0.0000,3267,0.1046,44
44639,7,b'7-syntactic_feature__root_word__current_user_utterance__remind',209.8761,74,0.1008,45
33203,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nhere',260.2771,41,0.0995,46
16645,4.1,b'4.1-ngram.next_system_utterance__nfor',184.8938,82,0.0962,47
41179,6,b'6-entity_feature__entity__next_system_utterance__laura_PERSON',74.9901,171,0.0962,48
