id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
3347,7,b'7-syntactic_feature__subj_word__next_system_utterance__wok',20.4489,501,1.0000,0
30,3,b'3-time_feature__time_ratio',251.2757,52,0.4977,1
63,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,2586,0.3623,2
61,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,2588,0.3226,3
1067,5,b'5-phrase_feature__noun_phrases__next_system_utterance__grafton_hotel_restaurant',21.9652,469,0.2542,4
27,2.3.1,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,2589,0.2248,5
2945,7,b'7-syntactic_feature__root_word__next_system_utterance__is',55.6370,187,0.2044,6
4300,10.2.1,b'10.2.1-d2v_similarity.next_user_utterance_pairs__cosine',0.0000,2958,0.1673,7
3328,7,b'7-syntactic_feature__subj_word__next_system_utterance__restaur',38.0473,305,0.1288,8
65,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address',425.7890,27,0.1220,9
3498,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=187',0.0000,2621,0.1196,10
1,2.1,b'2.1-user_action_words.current_user_utterance__address',426.6824,26,0.1115,11
32,3,b'3-time_feature__turns_to_end',7328.0899,0,0.1039,12
3940,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=45',0.0000,2776,0.0872,13
3846,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=23',0.0000,2695,0.0869,14
4110,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=198',0.0000,2320,0.0867,15
2270,6,b'6-entity_feature__entity__next_system_utterance__183_NUMBER',3.4014,2045,0.0848,16
3541,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=225',0.0000,2438,0.0844,17
1632,5,b'5-phrase_feature__noun_phrases__next_system_utterance__thanh_binh',63.6816,172,0.0819,18
4226,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=32',0.0000,2265,0.0757,19
2491,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,2581,0.0704,20
1207,5,b'5-phrase_feature__noun_phrases__next_system_utterance__lodge_hotel',5.6398,1399,0.0700,21
3196,7,b'7-syntactic_feature__root_word__next_user_utterance__want',38.1739,303,0.0641,22
3111,7,b'7-syntactic_feature__root_word__next_user_utterance__north',44.8023,226,0.0629,23
1719,5,b'5-phrase_feature__noun_phrases__next_system_utterance__yu',21.2759,482,0.0617,24
3961,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=64',0.0000,2049,0.0609,25
1068,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great_restaurant',288.3986,49,0.0597,26
