id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
29,3,b'3-time_feature__end_of_session',272.2220,36,1.0000,0
33106,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_nhere',251.1650,43,0.2410,1
44765,7,b'7-syntactic_feature__root_word__next_system_utterance__alright',168.0968,89,0.1912,2
31428,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great',279.4974,34,0.1524,3
29085,5,b'5-phrase_feature__noun_phrases__next_system_utterance__alright',169.3287,87,0.1177,4
36141,5,b'5-phrase_feature__noun_phrases__next_system_utterance__yes/no',351.6712,18,0.1175,5
33718,5,b'5-phrase_feature__noun_phrases__next_system_utterance__person',64.3151,208,0.1019,6
45115,7,b'7-syntactic_feature__root_word__next_system_utterance__find',344.4768,20,0.0994,7
44748,7,b'7-syntactic_feature__root_word__next_system_utterance__ad',267.7295,38,0.0990,8
23351,4.1,b'4.1-ngram.next_user_utterance__discard',134.5622,102,0.0931,9
45181,7,b'7-syntactic_feature__root_word__next_system_utterance__great',279.0882,35,0.0862,10
46026,7,b'7-syntactic_feature__root_word__next_user_utterance__discard',130.3317,104,0.0861,11
43694,7,b'7-syntactic_feature__obj_word__next_system_utterance__that',285.7022,32,0.0783,12
32018,5,b'5-phrase_feature__noun_phrases__next_system_utterance__item',31.0351,423,0.0780,13
7243,4.1,b'4.1-ngram.next_system_utterance__didn',80.2682,153,0.0737,14
32024,5,b'5-phrase_feature__noun_phrases__next_system_utterance__items',178.0366,84,0.0712,15
16919,4.1,b'4.1-ngram.next_system_utterance__nyou discard request',246.7700,45,0.0699,16
16918,4.1,b'4.1-ngram.next_system_utterance__nyou discard',246.7700,44,0.0689,17
43523,7,b'7-syntactic_feature__obj_word__next_system_utterance__n5',59.7503,220,0.0663,18
45472,7,b'7-syntactic_feature__root_word__next_system_utterance__ok',56.2694,232,0.0653,19
31483,5,b'5-phrase_feature__noun_phrases__next_system_utterance__group_members',71.7207,180,0.0599,20
7330,4.1,b'4.1-ngram.next_system_utterance__discard',222.9657,54,0.0597,21
45617,7,b'7-syntactic_feature__root_word__next_system_utterance__remov',121.4450,107,0.0563,22
32613,5,b'5-phrase_feature__noun_phrases__next_system_utterance__mar',46.7949,268,0.0556,23
21074,4.1,b'4.1-ngram.next_system_utterance__time set',50.2532,255,0.0532,24
32460,5,b'5-phrase_feature__noun_phrases__next_system_utterance__list',169.7379,86,0.0527,25
34928,5,b'5-phrase_feature__noun_phrases__next_system_utterance__show_reminders',28.8758,454,0.0501,26
2789,1,b'1-utterance_length.next_system_utterance__utterance_length',897.9034,8,0.0486,27
38708,5,b'5-phrase_feature__noun_phrases__next_user_utterance__reminders',39.2445,328,0.0477,28
24085,4.1,b'4.1-ngram.next_user_utterance__reminders',27.6949,496,0.0471,29
44980,7,b'7-syntactic_feature__root_word__next_system_utterance__coffe',28.8005,455,0.0440,30
