id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
30,3,b'3-time_feature__time_ratio',251.2757,68,1.0000,0
4123,4.1,b'4.1-ngram.next_system_utterance__sure',60.0399,237,0.7724,1
8706,4.3.1,b'4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,291,0.6517,2
8126,7,b'7-syntactic_feature__root_word__next_system_utterance__like',1172.1812,3,0.6188,3
8524,7,b'7-syntactic_feature__subj_word__next_system_utterance__you',1521.9407,2,0.6153,4
5127,4.1,b'4.1-ngram.next_user_utterance__thank',412.7607,31,0.5075,5
8716,9.2.1,b'9.2.1-w2v_similarity.next_user_utterance_pairs__cosine',0.0000,281,0.4580,6
507,4.1,b'4.1-ngram.current_user_utterance__phone number',201.5084,86,0.3427,7
8704,2.3.1,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,289,0.3195,8
5241,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address',425.7890,27,0.2979,9
2564,4.1,b'4.1-ngram.next_system_utterance__like',388.2541,38,0.2939,10
6600,5,b'5-phrase_feature__noun_phrases__next_system_utterance__road',232.5560,73,0.2905,11
6760,5,b'5-phrase_feature__noun_phrases__next_system_utterance__street',225.1980,77,0.2894,12
8705,4.2.1,b'4.2.1-edit_distance.next_user_utterance_pairs__edit_distance',0.0000,290,0.2873,13
1,2.1,b'2.1-user_action_words.current_user_utterance__address',426.6824,26,0.2795,14
8707,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,284,0.2733,15
6594,5,b'5-phrase_feature__noun_phrases__next_system_utterance__right',335.9529,54,0.2682,16
6900,5,b'5-phrase_feature__noun_phrases__next_user_utterance__address',469.2006,21,0.2236,17
15,2.1,b'2.1-user_action_words.current_user_utterance__number',410.6642,33,0.2089,18
8576,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=0',0.0000,344,0.2078,19
5614,5,b'5-phrase_feature__noun_phrases__current_user_utterance__number',410.6642,32,0.1979,20
5366,5,b'5-phrase_feature__noun_phrases__current_user_utterance__code',112.5779,134,0.1943,21
34,4.1,b'4.1-ngram.current_user_utterance__address',350.4873,49,0.1884,22
5680,5,b'5-phrase_feature__noun_phrases__current_user_utterance__post_code',116.1049,130,0.1833,23
6953,5,b'5-phrase_feature__noun_phrases__next_user_utterance__bye',842.5880,5,0.1828,24
8379,7,b'7-syntactic_feature__root_word__next_user_utterance__ye',212.9693,81,0.1807,25
32,3,b'3-time_feature__turns_to_end',7328.0899,0,0.1712,26
8714,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,299,0.1513,27
462,4.1,b'4.1-ngram.current_user_utterance__number',201.0520,87,0.1455,28
8709,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,294,0.1453,29
6516,5,b'5-phrase_feature__noun_phrases__next_system_utterance__phone',579.7128,12,0.1411,30
6517,5,b'5-phrase_feature__noun_phrases__next_system_utterance__phone_number',579.7128,11,0.1370,31
6473,5,b'5-phrase_feature__noun_phrases__next_system_utterance__number',579.7128,10,0.1350,32
8606,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=125',0.0000,335,0.1344,33
152,4.1,b'4.1-ngram.current_user_utterance__code',58.8962,241,0.1329,34
8109,7,b'7-syntactic_feature__root_word__next_system_utterance__did',83.0472,182,0.1315,35
8587,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=108',0.0000,355,0.1315,36
5235,4.1,b'4.1-ngram.next_user_utterance__yes',202.5400,84,0.1288,37
6520,5,b'5-phrase_feature__noun_phrases__next_system_utterance__pizza',71.9939,208,0.1276,38
4936,4.1,b'4.1-ngram.next_user_utterance__number',213.1081,80,0.1262,39
4787,4.1,b'4.1-ngram.next_user_utterance__good',342.6585,51,0.1240,40
8608,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=127',0.0000,337,0.1239,41
6244,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great_restaurant',288.3986,61,0.1055,42
6565,5,b'5-phrase_feature__noun_phrases__next_system_utterance__restaurant',225.3114,76,0.1030,43
8581,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=102',0.0000,349,0.1012,44
0,1,b'1-utterance_length.current_user_utterance__utterance_length',116.8619,129,0.0994,45
4734,4.1,b'4.1-ngram.next_user_utterance__doesnt',101.6540,152,0.0991,46
5850,5,b'5-phrase_feature__noun_phrases__current_user_utterance__thai_food',80.5602,185,0.0955,47
526,4.1,b'4.1-ngram.current_user_utterance__post',62.7425,226,0.0900,48
527,4.1,b'4.1-ngram.current_user_utterance__post code',62.6675,227,0.0900,49
8597,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=117',0.0000,326,0.0884,50
4613,2.2,b'2.2-#user_action_words.next_user_utterance__utterance_length',156.4017,104,0.0868,51
6464,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nice_restaurant',86.2284,171,0.0845,52
4587,1,b'1-utterance_length.next_user_utterance__utterance_length',544.2346,14,0.0832,53
6204,5,b'5-phrase_feature__noun_phrases__next_system_utterance__food',113.8363,133,0.0828,54
6029,5,b'5-phrase_feature__noun_phrases__next_system_utterance__c.b',140.4303,108,0.0805,55
5131,4.1,b'4.1-ngram.next_user_utterance__thank goodbye',67.7185,213,0.0801,56
8674,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=187',0.0000,261,0.0795,57
17,2.1,b'2.1-user_action_words.current_user_utterance__phone',407.0356,36,0.0787,58
5655,5,b'5-phrase_feature__noun_phrases__current_user_utterance__phone',407.0356,35,0.0772,59
6499,5,b'5-phrase_feature__noun_phrases__next_system_utterance__park',90.5671,168,0.0754,60
562,4.1,b'4.1-ngram.current_user_utterance__restaurant',91.1197,167,0.0747,61
8492,7,b'7-syntactic_feature__subj_word__next_system_utterance__number',578.6295,13,0.0680,62
8274,7,b'7-syntactic_feature__root_word__next_user_utterance__matter',86.0467,172,0.0673,63
8594,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=114',0.0000,340,0.0669,64
8102,7,b'7-syntactic_feature__root_word__next_system_utterance__c.b',129.5442,121,0.0649,65
7427,6,b'6-entity_feature__entity__next_system_utterance__01223_DATE',529.1960,15,0.0647,66
930,4.1,b'4.1-ngram.current_user_utterance__whats address',78.9186,191,0.0639,67
