id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
29,3,b'3-time_feature__time_ratio',251.2757,68,1.0000,0
5124,4.1,b'4.1-ngram.next_user_utterance__thank',412.7607,31,0.8946,1
8512,7,b'7-syntactic_feature__subj_word__next_system_utterance__you',1521.9407,2,0.7431,2
461,4.1,b'4.1-ngram.current_user_utterance__number',201.0520,87,0.7097,3
4120,4.1,b'4.1-ngram.next_system_utterance__sure',60.0399,237,0.6960,4
2561,4.1,b'4.1-ngram.next_system_utterance__like',388.2541,38,0.6135,5
5235,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address',425.7890,27,0.5377,6
33,4.1,b'4.1-ngram.current_user_utterance__address',350.4873,49,0.5115,7
1,2.1,b'2.1-user_action_words.current_user_utterance__address',426.6824,26,0.5110,8
5360,5,b'5-phrase_feature__noun_phrases__current_user_utterance__code',112.5779,134,0.4720,9
8114,7,b'7-syntactic_feature__root_word__next_system_utterance__like',1172.1812,3,0.4559,10
6594,5,b'5-phrase_feature__noun_phrases__next_system_utterance__road',232.5560,73,0.4447,11
5608,5,b'5-phrase_feature__noun_phrases__current_user_utterance__number',410.6642,32,0.4250,12
15,2.1,b'2.1-user_action_words.current_user_utterance__number',410.6642,33,0.4078,13
506,4.1,b'4.1-ngram.current_user_utterance__phone number',201.5084,86,0.3542,14
151,4.1,b'4.1-ngram.current_user_utterance__code',58.8962,241,0.3460,15
6894,5,b'5-phrase_feature__noun_phrases__next_user_utterance__address',469.2006,21,0.3438,16
6754,5,b'5-phrase_feature__noun_phrases__next_system_utterance__street',225.1980,77,0.3264,17
6467,5,b'5-phrase_feature__noun_phrases__next_system_utterance__number',579.7128,10,0.3190,18
6510,5,b'5-phrase_feature__noun_phrases__next_system_utterance__phone',579.7128,11,0.3147,19
6511,5,b'5-phrase_feature__noun_phrases__next_system_utterance__phone_number',579.7128,12,0.2991,20
0,1,b'1-utterance_length.current_user_utterance__utterance_length',116.8619,129,0.2885,21
2116,4.1,b'4.1-ngram.next_system_utterance__food',95.8159,161,0.2396,22
6947,5,b'5-phrase_feature__noun_phrases__next_user_utterance__bye',842.5880,5,0.2166,23
6588,5,b'5-phrase_feature__noun_phrases__next_system_utterance__right',335.9529,54,0.1987,24
17,2.1,b'2.1-user_action_words.current_user_utterance__phone',407.0356,35,0.1844,25
4585,2.1,b'2.1-user_action_words.next_user_utterance__address',467.7490,23,0.1768,26
6198,5,b'5-phrase_feature__noun_phrases__next_system_utterance__food',113.8363,133,0.1719,27
5649,5,b'5-phrase_feature__noun_phrases__current_user_utterance__phone',407.0356,36,0.1640,28
31,3,b'3-time_feature__turns_to_end',7328.0899,0,0.1626,29
6458,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nice_restaurant',86.2284,171,0.1546,30
5650,5,b'5-phrase_feature__noun_phrases__current_user_utterance__phone_number',407.2975,34,0.1519,31
8367,7,b'7-syntactic_feature__root_word__next_user_utterance__ye',212.9693,81,0.1478,32
5674,5,b'5-phrase_feature__noun_phrases__current_user_utterance__post_code',116.1049,130,0.1446,33
8097,7,b'7-syntactic_feature__root_word__next_system_utterance__did',83.0472,182,0.1400,34
8575,8.1,b'8.1-lda_feature.current_user_utterance__topic_19',0.0000,259,0.1392,35
6071,5,b'5-phrase_feature__noun_phrases__next_system_utterance__chesterton',91.8150,165,0.1352,36
6023,5,b'5-phrase_feature__noun_phrases__next_system_utterance__c.b',140.4303,108,0.1348,37
4933,4.1,b'4.1-ngram.next_user_utterance__number',213.1081,80,0.1307,38
8576,8.1,b'8.1-lda_feature.current_user_utterance__topic_2',0.0000,258,0.1180,39
3550,4.1,b'4.1-ngram.next_system_utterance__right',83.0720,181,0.1176,40
8571,8.1,b'8.1-lda_feature.current_user_utterance__topic_15',0.0000,263,0.1092,41
7421,6,b'6-entity_feature__entity__next_system_utterance__01223_DATE',529.1960,15,0.1074,42
4784,4.1,b'4.1-ngram.next_user_utterance__good',342.6585,51,0.1049,43
4731,4.1,b'4.1-ngram.next_user_utterance__doesnt',101.6540,152,0.1006,44
8129,7,b'7-syntactic_feature__root_word__next_system_utterance__sorri',467.9169,22,0.0999,45
7259,5,b'5-phrase_feature__noun_phrases__next_user_utterance__post_code',127.9285,122,0.0936,46
8572,8.1,b'8.1-lda_feature.current_user_utterance__topic_16',0.0000,256,0.0902,47
8574,8.1,b'8.1-lda_feature.current_user_utterance__topic_18',0.0000,260,0.0879,48
8579,8.1,b'8.1-lda_feature.current_user_utterance__topic_22',0.0000,271,0.0863,49
8339,7,b'7-syntactic_feature__root_word__next_user_utterance__thank',938.0234,4,0.0856,50
8566,8.1,b'8.1-lda_feature.current_user_utterance__topic_10',0.0000,268,0.0844,51
8569,8.1,b'8.1-lda_feature.current_user_utterance__topic_13',0.0000,265,0.0793,52
6238,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great_restaurant',288.3986,61,0.0779,53
526,4.1,b'4.1-ngram.current_user_utterance__post code',62.6675,227,0.0777,54
7701,7,b'7-syntactic_feature__obj_word__next_user_utterance__bye',767.8040,9,0.0767,55
7697,7,b'7-syntactic_feature__obj_word__next_system_utterance__you',80.4661,187,0.0747,56
6514,5,b'5-phrase_feature__noun_phrases__next_system_utterance__pizza',71.9939,208,0.0738,57
8564,8.1,b'8.1-lda_feature.current_user_utterance__topic_0',0.0000,270,0.0735,58
8565,8.1,b'8.1-lda_feature.current_user_utterance__topic_1',0.0000,269,0.0726,59
8480,7,b'7-syntactic_feature__subj_word__next_system_utterance__number',578.6295,13,0.0695,60
8570,8.1,b'8.1-lda_feature.current_user_utterance__topic_14',0.0000,264,0.0680,61
30,3,b'3-time_feature__turns_from_start',2873.4959,1,0.0674,62
5232,4.1,b'4.1-ngram.next_user_utterance__yes',202.5400,84,0.0666,63
8198,7,b'7-syntactic_feature__root_word__next_user_utterance__dont',319.4758,59,0.0666,64
4610,2.2,b'2.2-#user_action_words.next_user_utterance__utterance_length',156.4017,104,0.0652,65
6378,5,b'5-phrase_feature__noun_phrases__next_system_utterance__looking',367.7857,44,0.0638,66
5215,4.1,b'4.1-ngram.next_user_utterance__whats address',62.8542,225,0.0633,67
6493,5,b'5-phrase_feature__noun_phrases__next_system_utterance__park',90.5671,168,0.0631,68
525,4.1,b'4.1-ngram.current_user_utterance__post',62.7425,226,0.0630,69
561,4.1,b'4.1-ngram.current_user_utterance__restaurant',91.1197,167,0.0607,70
5919,5,b'5-phrase_feature__noun_phrases__current_user_utterance__whats',253.6909,66,0.0596,71
5691,5,b'5-phrase_feature__noun_phrases__current_user_utterance__priced_restaurant',120.8797,128,0.0586,72
7237,5,b'5-phrase_feature__noun_phrases__next_user_utterance__phone_number',516.6008,18,0.0578,73
6989,5,b'5-phrase_feature__noun_phrases__next_user_utterance__code',132.3345,118,0.0576,74
6500,5,b'5-phrase_feature__noun_phrases__next_system_utterance__part',383.2503,41,0.0568,75
8573,8.1,b'8.1-lda_feature.current_user_utterance__topic_17',0.0000,261,0.0551,76
5714,5,b'5-phrase_feature__noun_phrases__current_user_utterance__restaurant',373.9228,43,0.0530,77
505,4.1,b'4.1-ngram.current_user_utterance__phone',199.8041,88,0.0518,78
8568,8.1,b'8.1-lda_feature.current_user_utterance__topic_12',0.0000,262,0.0517,79
6953,5,b'5-phrase_feature__noun_phrases__next_user_utterance__care',434.4164,25,0.0501,80
4673,4.1,b'4.1-ngram.next_user_utterance__bye',341.2626,52,0.0497,81
8372,7,b'7-syntactic_feature__subj_word__current_user_utterance__address',103.4077,148,0.0490,82
3908,4.1,b'4.1-ngram.next_system_utterance__sorry',80.5223,186,0.0467,83
7081,5,b'5-phrase_feature__noun_phrases__next_user_utterance__goodbye',108.7359,136,0.0461,84
928,4.1,b'4.1-ngram.current_user_utterance__whats',122.0281,126,0.0447,85
5126,4.1,b'4.1-ngram.next_user_utterance__thank good',331.0370,56,0.0444,86
959,1,b'1-utterance_length.next_system_utterance__utterance_length',325.2387,58,0.0435,87
8262,7,b'7-syntactic_feature__root_word__next_user_utterance__matter',86.0467,172,0.0433,88
4586,2.1,b'2.1-user_action_words.next_user_utterance__ani',298.2324,60,0.0433,89
5128,4.1,b'4.1-ngram.next_user_utterance__thank goodbye',67.7185,213,0.0427,90
8090,7,b'7-syntactic_feature__root_word__next_system_utterance__c.b',129.5442,121,0.0427,91
7945,7,b'7-syntactic_feature__root_word__current_user_utterance__what',458.4822,24,0.0424,92
4599,2.1,b'2.1-user_action_words.next_user_utterance__number',520.1140,17,0.0404,93
3445,4.1,b'4.1-ngram.next_system_utterance__restaurant right',59.9355,238,0.0404,94
5214,4.1,b'4.1-ngram.next_user_utterance__whats',97.8851,158,0.0399,95
8125,7,b'7-syntactic_feature__root_word__next_system_utterance__restaur',167.3413,95,0.0390,96
5495,5,b'5-phrase_feature__noun_phrases__current_user_utterance__im_looking',162.2314,102,0.0386,97
5852,5,b'5-phrase_feature__noun_phrases__current_user_utterance__town',229.7694,74,0.0375,98
