id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
30,3,b'3-time_feature__time_ratio',251.2757,68,1.0000,0
8524,7,b'7-syntactic_feature__subj_word__next_system_utterance__you',1521.9407,2,0.8713,1
8126,7,b'7-syntactic_feature__root_word__next_system_utterance__like',1172.1812,3,0.8562,2
8652,8.2.1,b'8.2.1-lda_similarity.next_user_utterance_pairs__cosine',0.0000,332,0.6220,3
8642,4.3.1,b'4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,258,0.4730,4
4123,4.1,b'4.1-ngram.next_system_utterance__sure',60.0399,237,0.4067,5
5127,4.1,b'4.1-ngram.next_user_utterance__thank',412.7607,31,0.3723,6
8379,7,b'7-syntactic_feature__root_word__next_user_utterance__ye',212.9693,81,0.3475,7
34,4.1,b'4.1-ngram.current_user_utterance__address',350.4873,49,0.2975,8
6600,5,b'5-phrase_feature__noun_phrases__next_system_utterance__road',232.5560,73,0.2913,9
6760,5,b'5-phrase_feature__noun_phrases__next_system_utterance__street',225.1980,77,0.2892,10
5241,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address',425.7890,27,0.2592,11
5614,5,b'5-phrase_feature__noun_phrases__current_user_utterance__number',410.6642,33,0.2512,12
15,2.1,b'2.1-user_action_words.current_user_utterance__number',410.6642,32,0.2509,13
8640,2.3.1,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,262,0.2421,14
6594,5,b'5-phrase_feature__noun_phrases__next_system_utterance__right',335.9529,54,0.2410,15
507,4.1,b'4.1-ngram.current_user_utterance__phone number',201.5084,86,0.2355,16
1,2.1,b'2.1-user_action_words.current_user_utterance__address',426.6824,26,0.2237,17
8141,7,b'7-syntactic_feature__root_word__next_system_utterance__sorri',467.9169,22,0.2023,18
8109,7,b'7-syntactic_feature__root_word__next_system_utterance__did',83.0472,182,0.2012,19
8576,8.1,b'8.1-lda_feature.current_user_utterance__topic_0',0.0000,303,0.1972,20
32,3,b'3-time_feature__turns_to_end',7328.0899,0,0.1927,21
2564,4.1,b'4.1-ngram.next_system_utterance__like',388.2541,38,0.1832,22
5366,5,b'5-phrase_feature__noun_phrases__current_user_utterance__code',112.5779,134,0.1812,23
152,4.1,b'4.1-ngram.current_user_utterance__code',58.8962,241,0.1735,24
8582,8.1,b'8.1-lda_feature.current_user_utterance__topic_14',0.0000,297,0.1702,25
8641,4.2.1,b'4.2.1-edit_distance.next_user_utterance_pairs__edit_distance',0.0000,260,0.1627,26
8643,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,273,0.1616,27
5235,4.1,b'4.1-ngram.next_user_utterance__yes',202.5400,84,0.1601,28
6900,5,b'5-phrase_feature__noun_phrases__next_user_utterance__address',469.2006,21,0.1583,29
6473,5,b'5-phrase_feature__noun_phrases__next_system_utterance__number',579.7128,11,0.1377,30
6506,5,b'5-phrase_feature__noun_phrases__next_system_utterance__part',383.2503,41,0.1321,31
5680,5,b'5-phrase_feature__noun_phrases__current_user_utterance__post_code',116.1049,130,0.1312,32
6516,5,b'5-phrase_feature__noun_phrases__next_system_utterance__phone',579.7128,10,0.1301,33
6517,5,b'5-phrase_feature__noun_phrases__next_system_utterance__phone_number',579.7128,12,0.1301,34
12,2.1,b'2.1-user_action_words.current_user_utterance__moder',137.8490,111,0.1261,35
6953,5,b'5-phrase_feature__noun_phrases__next_user_utterance__bye',842.5880,5,0.1230,36
7427,6,b'6-entity_feature__entity__next_system_utterance__01223_DATE',529.1960,15,0.1222,37
527,4.1,b'4.1-ngram.current_user_utterance__post code',62.6675,227,0.1107,38
